analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.426,0.003,433.262,438.294,True,True,False,0.518,0.371,0,1.285,1.512,0.283,809.4611269827861,1.226,0.587,,,,
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.487,0.579,459.213,465.692,True,False,False,0.47,0.089,0,3.221,4.151,0.091,780.7019954936869,,,1.27,1.66,0.788,0.073
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.594,0.004,428.284,435.832,False,True,False,0.537,0.149,0,1.476,2.522,0.985,809.4611269827861,1.378,0.433,1.052,1.617,0.992,0.015
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.493,0.007,322.761,325.594,True,True,False,0.49,0.443,0,1.415,1.415,0.093,804.0622503950303,,,,,,
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_piecewise,True,9,piecewise_lags_1_sinusoidal_no,0.509,0.006,296.133,299.694,True,True,False,0.501,0.034,0,1.395,1.404,0.073,806.8190393250463,1.009,0.418,,,,
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.516,0.016,325.888,330.61,True,True,False,0.596,0.169,0,1.619,2.112,0.15,804.0622503950303,,,1.002,1.491,0.49,0.759
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_piecewise,True,9,piecewise_lags_1_sinusoidal_yes,0.619,0.024,295.567,300.909,True,True,False,0.756,0.289,0,1.708,2.513,0.402,806.8190393250463,1.015,0.349,1.0,1.79,0.983,0.088
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.386,0.794,460.199,464.086,True,False,False,0.285,-0.003,0,1.691,1.691,0.117,790.724094952495,,,,,,
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_piecewise,False,10,piecewise_lags_1_sinusoidal_no,0.444,0.006,431.717,436.75,True,True,False,0.525,-0.09,0,1.353,1.609,0.345,807.6145962710606,1.256,0.282,,,,
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.532,0.374,456.891,463.37,True,False,False,0.624,0.077,0,2.229,3.007,0.019,790.724094952495,,,1.102,1.676,0.167,0.133
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_piecewise,False,10,piecewise_lags_1_sinusoidal_yes,0.528,0.043,431.431,438.979,False,True,False,0.515,-0.136,0,1.649,2.953,0.993,807.6145962710606,1.47,0.841,1.011,1.824,0.615,0.176
