analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.076,0.127,1241.968,1248.67,False,True,False,0.217,-0.045,0,1.092,1.092,0.026,813.5565637180247,,,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.075,0.139,1227.054,1235.932,False,True,False,0.213,-0.158,0,1.099,1.165,0.035,813.573031551953,1.066,0.826,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_no_piecewise,False,9,piecewise_lags_5_sinusoidal_no,0.057,0.382,1159.569,1168.205,False,True,False,0.188,-0.141,0,1.111,1.255,0.065,813.6389028876656,,,1.144,0.996,,,,
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.138,0.071,1241.155,1252.326,False,False,False,0.278,-0.067,0,1.093,1.113,0.024,813.5565637180247,,,,,1.003,1.017,0.036,0.88
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.136,0.084,1226.366,1239.683,False,False,False,0.275,-0.182,0,1.101,1.196,0.032,813.573031551953,1.068,0.777,,,1.001,1.026,0.041,0.829
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_yes_piecewise,False,9,piecewise_lags_5_sinusoidal_yes,0.122,0.322,1158.956,1171.909,False,False,False,0.236,-0.066,0,1.115,1.294,0.054,813.6389028876656,,,1.148,0.972,1.002,1.029,0.043,0.824
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.131,0.126,514.711,518.812,False,True,False,0.424,0.071,0,1.398,1.398,0.066,780.9594111967147,,,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_no_piecewise,True,9,piecewise_lags_1_sinusoidal_no,0.231,0.042,495.812,501.141,False,True,False,0.676,-0.424,0,1.423,1.432,0.026,780.9138913138075,1.009,0.063,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_no_piecewise,True,9,piecewise_lags_5_sinusoidal_no,0.26,0.016,440.287,444.999,True,True,False,0.623,-0.351,0,2.75,4.255,0.033,783.4083870059537,,,2.506,0.085,,,,
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.133,0.141,518.645,525.481,False,True,False,0.421,-0.706,0,1.447,1.571,0.081,780.9594111967147,,,,,1.007,1.117,0.817,0.995
