analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.728,0.0,325.179,331.153,True,True,False,1.286,-15.773,0,1.0,1.063,1.194,1.092,0.947,0.394,0.054,"[np.float64(566.79204), np.float64(593.082172), np.float64(601.7171), np.float64(608.203081), np.float64(621.3719499)]",1.35,0.037,,,,
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.644,0.029,347.356,354.667,True,True,False,0.773,-0.343,0,1.0,1.062,1.013,1.053,0.409,0.671,0.357,"[np.float64(566.79204), np.float64(589.46045), np.float64(595.63325), np.float64(600.9157), np.float64(621.3719498999999)]",,,1.073,1.055,0.009,0.431
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.852,0.0,317.036,325.001,True,True,True,1.556,-8.615,0,1.0,1.142,1.311,1.434,0.722,0.562,0.399,"[np.float64(566.79204), np.float64(593.082172), np.float64(601.7171), np.float64(608.203081), np.float64(621.3719499)]",1.453,0.058,1.307,1.127,0.155,0.021
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.359,0.829,325.494,330.216,True,True,False,0.492,-0.93,0,1.0,1.0,1.0,1.0,0.253,0.07,0.213,"[np.float64(575.58749965), np.float64(594.162528), np.float64(602.253018), np.float64(606.987245), np.float64(618.352824825)]",,,,,,
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.231,0.857,314.299,319.642,True,True,False,0.748,-8.061,0,1.0,1.071,1.017,1.004,0.157,0.324,0.789,"[np.float64(592.1519374999999), np.float64(601.390547), np.float64(606.044879), np.float64(611.634921), np.float64(618.3528248250001)]",1.092,0.781,,,,
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.428,0.532,327.352,333.963,False,True,False,0.411,-13.068,0,1.0,2.164,1.833,1.25,0.857,0.251,0.367,"[np.float64(575.58749965), np.float64(594.162528), np.float64(602.253018), np.float64(606.987245), np.float64(618.352824825)]",,,2.445,1.802,0.256,0.98
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.438,0.499,312.676,319.799,True,True,False,0.943,-139.779,0,1.0,1.236,1.03,1.156,0.476,0.178,0.872,"[np.float64(592.1519374999999), np.float64(601.390547), np.float64(606.044879), np.float64(611.634921), np.float64(618.3528248250001)]",1.098,0.892,1.281,1.043,0.1,0.532
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.32,0.048,359.401,364.624,True,True,False,0.581,-7.732,0,1.0,1.0,1.0,1.0,0.549,0.844,0.749,"[np.float64(566.79204), np.float64(587.209111), np.float64(596.150875), np.float64(602.668289), np.float64(618.2752887333332)]",,,,,,
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.729,0.0,327.033,333.008,True,True,False,0.941,-1.402,0,1.0,1.155,1.085,1.052,0.298,0.691,0.364,"[np.float64(566.79204), np.float64(589.652453), np.float64(596.296617), np.float64(604.626573), np.float64(620.37479972)]",1.292,0.008,,,,
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.557,0.102,354.409,361.721,True,True,False,0.991,-22.625,0,1.0,1.09,1.072,1.07,0.659,0.432,0.896,"[np.float64(566.79204), np.float64(587.209111), np.float64(596.150875), np.float64(602.668289), np.float64(618.2752887333332)]",,,1.027,1.206,0.017,0.653
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_yes_spline,False,9,spline_lags_1_sinusoidal_yes,0.823,0.0,322.5,330.466,True,True,False,1.147,-0.973,0,1.0,1.175,1.18,1.128,0.239,0.755,0.192,"[np.float64(566.79204), np.float64(589.652453), np.float64(596.296617), np.float64(604.626573), np.float64(620.37479972)]",1.296,0.009,1.052,1.135,0.035,0.652
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.104,0.365,330.774,335.496,True,True,False,0.247,-17.847,0,1.0,1.0,1.0,1.0,0.868,0.878,0.913,"[np.float64(578.48399972), np.float64(595.422684), np.float64(601.370943), np.float64(606.394205), np.float64(612.9691776222221)]",,,,,,
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_no_spline,True,9,spline_lags_1_sinusoidal_no,0.147,0.72,315.43,320.772,True,True,False,0.374,-3.382,0,1.0,1.0,1.052,1.062,0.841,0.641,0.212,"[np.float64(591.2120555555556), np.float64(601.52635), np.float64(605.371088), np.float64(608.495933), np.float64(615.0637998)]",1.114,0.841,,,,
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.364,0.45,328.257,334.869,True,True,False,0.476,-40.638,0,1.0,1.655,1.241,1.045,0.62,0.736,0.634,"[np.float64(578.48399972), np.float64(595.422684), np.float64(601.370943), np.float64(606.394205), np.float64(612.9691776222221)]",,,1.151,1.789,0.048,0.709
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_yes_spline,True,9,spline_lags_1_sinusoidal_yes,0.312,0.854,315.575,322.698,True,True,False,0.415,-12.161,0,1.0,1.063,1.4,1.682,0.945,0.839,0.673,"[np.float64(591.2120555555556), np.float64(601.52635), np.float64(605.371088), np.float64(608.495933), np.float64(615.0637998)]",1.123,0.998,1.507,1.515,0.218,0.843
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.361,0.312,356.427,361.649,True,True,False,0.745,-1.666,0,1.0,1.0,1.0,1.0,0.841,0.051,0.819,"[np.float64(578.48399972), np.float64(588.5617), np.float64(596.150875), np.float64(600.605289), np.float64(613.43775986)]",,,,,,
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_no_spline,False,10,spline_lags_1_sinusoidal_no,0.702,0.0,327.288,333.262,False,True,False,1.3,-0.255,0,1.0,1.246,1.085,1.0,0.313,0.283,0.919,"[np.float64(578.5795), np.float64(589.806895), np.float64(602.165174), np.float64(608.520688), np.float64(620.37479972)]",1.33,0.015,,,,
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_yes_spline,False,10,spline_lags_none_sinusoidal_yes,0.571,0.231,352.061,359.373,True,True,False,0.814,-1.57,0,1.0,1.199,1.074,1.051,0.665,0.075,0.714,"[np.float64(578.48399972), np.float64(588.5617), np.float64(596.150875), np.float64(600.605289), np.float64(613.43775986)]",,,1.088,1.236,0.045,0.243
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_yes_spline,False,10,spline_lags_1_sinusoidal_yes,0.778,0.001,325.399,333.365,True,True,False,1.299,-1.009,0,1.0,1.42,1.217,1.215,0.286,0.365,0.74,"[np.float64(578.5795), np.float64(589.806895), np.float64(602.165174), np.float64(608.520688), np.float64(620.37479972)]",1.383,0.027,1.105,1.365,0.066,0.968
