analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_yes_quadratic,False,7,quadratic_lags_2_sinusoidal_yes,0.188,0.211,837.14,848.731,False,False,False,0.823,-0.095,0,2.073,2.12,0.039,,,1.047,0.111,,,,,,,1.0,1.0,0.448,0.122
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_yes_quadratic,False,7,quadratic_lags_3_sinusoidal_yes,0.158,0.317,822.16,833.632,False,False,False,0.767,0.078,0,2.205,2.3,0.153,,,,,1.095,0.595,,,,,1.0,1.0,0.577,0.052
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_yes_quadratic,False,7,quadratic_lags_4_sinusoidal_yes,0.144,0.724,806.551,817.902,False,False,False,0.734,0.029,0,2.223,2.288,0.193,,,,,,,1.064,0.767,,,1.001,1.0,0.666,0.055
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_yes_quadratic,False,7,quadratic_lags_7_sinusoidal_yes,0.216,0.363,758.044,769.016,False,False,False,0.928,-0.04,0,2.062,2.098,0.183,,,,,,,,,1.037,0.054,1.0,1.0,0.589,0.086
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.323,0.004,441.937,445.934,False,True,False,0.687,0.042,0,1.46,1.46,0.099,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.323,0.006,425.282,430.466,False,True,False,0.619,0.09,0,1.572,1.576,0.105,1.004,0.032,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_no_quadratic,True,7,quadratic_lags_2_sinusoidal_no,0.211,0.077,413.249,418.281,False,True,False,0.663,-0.338,0,1.525,1.525,0.361,,,1.0,0.055,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_no_quadratic,True,7,quadratic_lags_3_sinusoidal_no,0.112,0.122,395.301,400.176,False,True,False,0.719,-0.165,0,1.633,1.646,0.286,,,,,1.013,0.75,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_no_quadratic,True,7,quadratic_lags_4_sinusoidal_no,0.062,0.287,382.439,387.151,False,True,False,0.622,-0.294,0,1.639,1.718,0.566,,,,,,,1.079,0.532,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_no_quadratic,True,7,quadratic_lags_7_sinusoidal_no,0.201,0.257,332.126,336.304,True,True,False,0.668,0.116,0,1.618,1.711,0.142,,,,,,,,,1.093,0.832,,,,
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.39,0.002,443.002,449.663,False,True,False,0.545,-0.281,0,1.52,1.649,0.047,,,,,,,,,,,1.0,1.129,0.363,0.202
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.386,0.004,426.644,434.419,False,True,False,0.424,-0.112,0,1.608,1.673,0.076,1.004,0.028,,,,,,,,,1.0,1.061,0.194,0.563
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_yes_quadratic,True,7,quadratic_lags_2_sinusoidal_yes,0.25,0.061,415.938,423.486,False,True,False,0.633,-0.57,0,1.567,1.647,0.244,,,1.0,0.055,,,,,,,1.005,1.075,0.818,0.331
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_yes_quadratic,True,7,quadratic_lags_3_sinusoidal_yes,0.191,0.069,396.972,404.285,False,True,False,0.562,-0.813,0,1.661,1.719,0.161,,,,,1.014,0.707,,,,,1.003,1.041,0.396,0.289
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_yes_quadratic,True,7,quadratic_lags_4_sinusoidal_yes,0.119,0.224,384.952,392.02,False,True,False,0.499,-2.507,0,1.718,1.932,0.385,,,,,,,1.089,0.558,,,1.005,1.119,0.431,0.469
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_yes_quadratic,True,7,quadratic_lags_7_sinusoidal_yes,0.308,0.482,333.102,339.369,False,True,False,0.596,-0.228,0,1.725,2.005,0.059,,,,,,,,,1.109,0.869,1.052,1.12,0.58,0.17
Croplands_cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.036,0.531,874.022,879.933,False,True,False,0.97,-0.046,0,1.748,1.748,0.226,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.078,0.364,829.838,837.642,False,True,False,1.306,-0.031,0,1.721,1.732,0.696,1.011,0.058,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_2_sinusoidal_no_quadratic,False,8,quadratic_lags_2_sinusoidal_no,0.06,0.535,808.361,816.088,False,True,False,0.984,-0.032,0,1.875,2.047,0.465,,,1.172,0.228,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_3_sinusoidal_no_quadratic,False,8,quadratic_lags_3_sinusoidal_no,0.018,0.745,793.08,800.728,False,True,False,0.996,-0.292,0,1.888,1.97,0.401,,,,,1.083,0.845,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_4_sinusoidal_no_quadratic,False,8,quadratic_lags_4_sinusoidal_no,0.015,0.894,776.687,784.255,False,True,False,0.968,-0.104,0,1.984,2.094,0.475,,,,,,,1.111,0.835,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_7_sinusoidal_no_quadratic,False,8,quadratic_lags_7_sinusoidal_no,0.192,0.027,725.677,732.991,False,True,False,1.361,-0.012,0,1.862,1.915,0.124,,,,,,,,,1.054,0.004,,,,
Croplands_cluster_0_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.114,0.786,873.565,883.417,False,True,False,1.089,-0.062,0,1.788,1.841,0.435,,,,,,,,,,,1.025,1.028,0.62,0.053
Croplands_cluster_0_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.174,0.687,828.078,839.785,True,True,False,1.381,-0.152,0,1.764,1.834,0.992,1.011,0.081,,,,,,,,,1.025,1.034,0.802,0.025
Croplands_cluster_0_yearly_False_window_8_lags_2_sinusoidal_yes_quadratic,False,8,quadratic_lags_2_sinusoidal_yes,0.087,0.696,810.854,822.445,True,True,False,1.057,-0.085,0,1.926,2.167,0.649,,,1.182,0.236,,,,,,,1.035,1.024,0.654,0.292
Croplands_cluster_0_yearly_False_window_8_lags_3_sinusoidal_yes_quadratic,False,8,quadratic_lags_3_sinusoidal_yes,0.076,0.926,794.04,805.512,False,True,False,1.125,-0.333,0,1.943,2.094,0.611,,,,,1.088,0.736,,,,,1.043,1.02,0.872,0.106
Croplands_cluster_0_yearly_False_window_8_lags_4_sinusoidal_yes_quadratic,False,8,quadratic_lags_4_sinusoidal_yes,0.067,0.908,778.023,789.374,True,True,False,1.088,-0.165,0,2.061,2.258,0.739,,,,,,,1.119,0.893,,,1.031,1.047,0.917,0.129
Croplands_cluster_0_yearly_False_window_8_lags_7_sinusoidal_yes_quadratic,False,8,quadratic_lags_7_sinusoidal_yes,0.208,0.034,728.737,739.709,False,True,False,1.403,-0.115,0,1.948,2.108,0.226,,,,,,,,,1.059,0.006,1.03,1.071,0.928,0.37
Croplands_cluster_0_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.423,0.001,433.813,437.809,True,True,False,0.444,0.143,0,1.444,1.444,0.053,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.381,0.001,418.559,423.743,True,True,False,0.499,-0.071,0,1.575,1.608,0.057,1.033,0.077,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_8_lags_2_sinusoidal_no_quadratic,True,8,quadratic_lags_2_sinusoidal_no,0.402,0.027,401.67,406.702,False,True,False,0.495,-0.194,0,1.494,1.494,0.195,,,1.001,0.003,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_8_lags_3_sinusoidal_no_quadratic,True,8,quadratic_lags_3_sinusoidal_no,0.226,0.033,384.789,389.664,True,True,False,0.513,-0.334,0,1.615,1.619,0.129,,,,,1.004,0.254,,,,,,,,
Croplands_cluster_0_yearly_True_window_8_lags_4_sinusoidal_no_quadratic,True,8,quadratic_lags_4_sinusoidal_no,0.11,0.202,374.716,379.428,True,True,False,0.65,-0.9,0,1.631,1.775,0.554,,,,,,,1.144,0.347,,,,,,
Croplands_cluster_0_yearly_True_window_8_lags_7_sinusoidal_no_quadratic,True,8,quadratic_lags_7_sinusoidal_no,0.284,0.406,323.665,327.843,True,True,False,0.617,-2.925,0,1.596,1.741,0.055,,,,,,,,,1.144,0.677,,,,
Croplands_cluster_0_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.431,0.001,437.406,444.067,False,True,False,0.432,-0.428,0,1.466,1.516,0.053,,,,,,,,,,,1.02,1.03,0.622,0.764
