analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_3_lags_2_sinusoidal_yes_linear,False,3,linear_lags_2_sinusoidal_yes,0.133,0.0,3253.43,3269.225,False,False,False,1.0,0.087,0,1.0,,,1.0,0.758,,,,,,,1.0,1.0,0.606,0.407
Croplands_yearly_False_window_3_lags_3_sinusoidal_yes_linear,False,3,linear_lags_3_sinusoidal_yes,0.114,0.004,3327.549,3343.315,False,False,False,1.338,0.06,0,1.0,,,,,1.0,0.396,,,,,1.0,1.0,0.756,0.39
Croplands_yearly_False_window_3_lags_4_sinusoidal_yes_linear,False,3,linear_lags_4_sinusoidal_yes,0.147,0.0,3213.927,3229.665,False,False,False,0.993,0.073,0,1.0,,,,,,,1.0,0.104,,,1.0,1.0,0.756,0.307
Croplands_yearly_False_window_3_lags_5_sinusoidal_yes_linear,False,3,linear_lags_5_sinusoidal_yes,0.111,0.0,3289.223,3304.931,False,False,False,1.316,0.019,0,1.0,,,,,,,,,1.0,0.579,1.0,1.0,0.837,0.283
Croplands_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.591,0.0,629.402,632.729,True,True,False,0.536,0.579,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.644,0.0,612.844,617.757,True,True,False,0.655,0.562,0,1.0,1.0,0.136,,,,,,,,,,,,
Croplands_yearly_True_window_3_lags_2_sinusoidal_no_linear,True,3,linear_lags_2_sinusoidal_no,0.615,0.0,598.292,603.125,True,True,False,0.564,0.522,0,1.0,,,1.0,0.161,,,,,,,,,,
Croplands_yearly_True_window_3_lags_3_sinusoidal_no_linear,True,3,linear_lags_3_sinusoidal_no,0.623,0.0,582.74,587.491,True,True,False,0.585,0.545,0,1.0,,,,,1.0,0.206,,,,,,,,
Croplands_yearly_True_window_3_lags_4_sinusoidal_no_linear,True,3,linear_lags_4_sinusoidal_no,0.636,0.0,567.147,571.813,True,True,False,0.517,0.597,0,1.0,,,,,,,1.0,0.139,,,,,,
Croplands_yearly_True_window_3_lags_5_sinusoidal_no_linear,True,3,linear_lags_5_sinusoidal_no,0.611,0.0,551.819,556.398,True,True,False,0.597,0.514,0,1.0,,,,,,,,,1.0,0.151,,,,
Croplands_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.596,0.0,632.945,639.599,True,True,False,0.539,0.508,0,1.0,,,,,,,,,,,1.0,1.0,0.764,0.576
Croplands_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.646,0.0,616.571,624.759,True,False,False,0.634,0.484,0,1.0,1.0,0.156,,,,,,,,,1.0,1.0,0.877,0.645
Croplands_yearly_True_window_3_lags_2_sinusoidal_yes_linear,True,3,linear_lags_2_sinusoidal_yes,0.622,0.0,601.574,609.628,True,False,False,0.579,0.373,0,1.0,,,1.0,0.197,,,,,,,1.0,1.0,0.526,0.638
Croplands_yearly_True_window_3_lags_3_sinusoidal_yes_linear,True,3,linear_lags_3_sinusoidal_yes,0.631,0.0,585.946,593.864,True,False,False,0.592,0.513,0,1.0,,,,,1.0,0.214,,,,,1.0,1.0,0.587,0.538
Croplands_yearly_True_window_3_lags_4_sinusoidal_yes_linear,True,3,linear_lags_4_sinusoidal_yes,0.654,0.001,569.294,577.07,True,True,False,0.522,0.53,0,1.0,,,,,,,1.0,0.107,,,1.0,1.0,0.527,0.275
Croplands_yearly_True_window_3_lags_5_sinusoidal_yes_linear,True,3,linear_lags_5_sinusoidal_yes,0.641,0.001,553.083,560.715,True,True,False,0.626,0.508,0,1.0,,,,,,,,,1.0,0.102,1.0,1.0,0.893,0.132
Croplands_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.169,0.0,3215.981,3222.321,False,False,False,0.899,0.119,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.175,0.0,3197.483,3206.977,False,False,False,0.922,0.158,0,1.0,1.0,0.331,,,,,,,,,,,,
Croplands_yearly_False_window_4_lags_2_sinusoidal_no_linear,False,4,linear_lags_2_sinusoidal_no,0.172,0.0,3182.689,3192.166,False,False,False,0.896,0.165,0,1.0,,,1.0,0.527,,,,,,,,,,
Croplands_yearly_False_window_4_lags_3_sinusoidal_no_linear,False,4,linear_lags_3_sinusoidal_no,0.132,0.0,3218.167,3227.627,False,False,False,0.939,0.096,0,1.0,,,,,1.0,0.468,,,,,,,,
