analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_True_window_4_lags_3_sinusoidal_no_piecewise,True,4,piecewise_lags_3_sinusoidal_no,0.728,0.479,86.099,86.888,True,True,True,1.824,0.168,0,2.043,2.566,0.602,243.67154438111112,,,1.523,0.736,,,,,,
CPER-Cluster_1_yearly_True_window_4_lags_4_sinusoidal_no_piecewise,True,4,piecewise_lags_4_sinusoidal_no,0.977,0.001,60.346,60.664,True,True,True,2.375,0.693,0,3.369,5.007,0.212,233.8500320106313,,,,,2.638,0.011,,,,
CPER-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.738,0.75,133.996,136.42,True,True,True,1.901,-1.093,0,2.49,2.565,0.198,243.73596660666666,,,,,,,1.053,1.022,0.426,0.37
CPER-Cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_piecewise,True,4,piecewise_lags_2_sinusoidal_yes,0.942,0.137,88.956,90.771,True,True,True,1.865,0.388,0,3.323,5.01,0.761,243.5648327638889,2.585,0.738,,,,,1.04,1.061,0.609,0.125
CPER-Cluster_1_yearly_True_window_4_lags_3_sinusoidal_yes_piecewise,True,4,piecewise_lags_3_sinusoidal_yes,0.857,0.303,84.349,85.532,True,True,False,1.198,-0.095,0,2.315,3.237,0.864,243.67154438111112,,,1.66,0.796,,,1.027,1.234,0.786,0.201
CPER-Cluster_1_yearly_True_window_4_lags_4_sinusoidal_yes_piecewise,True,4,piecewise_lags_4_sinusoidal_yes,0.987,0.046,59.759,60.236,True,True,True,2.249,0.497,0,3.845,6.014,0.27,233.8500320106313,,,,,2.968,0.125,1.042,1.159,0.357,0.664
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.927,0.09,110.277,111.732,True,True,True,2.183,0.865,0,2.198,2.198,0.007,245.14072601478787,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_piecewise,False,5,piecewise_lags_2_sinusoidal_no,0.846,0.101,86.831,88.042,True,True,True,1.643,-57.753,0,2.46,3.021,0.029,243.65831266848485,1.561,0.721,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.96,0.018,107.032,109.456,True,True,False,1.499,0.913,0,2.306,2.396,0.002,245.14072601478787,,,,,,,1.073,1.017,0.05,0.47
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_piecewise,False,5,piecewise_lags_2_sinusoidal_yes,0.862,0.232,89.734,91.55,True,True,False,1.347,-0.255,0,2.53,3.166,0.142,243.65831266848485,1.588,0.669,,,,,1.047,1.0,0.577,0.602
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.927,0.09,110.277,111.732,True,True,True,2.183,0.865,0,2.198,2.198,0.007,245.14072601478787,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_piecewise,True,5,piecewise_lags_2_sinusoidal_no,0.846,0.101,86.831,88.042,True,True,True,1.643,-57.753,0,2.46,3.021,0.029,243.65831266848485,1.561,0.721,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.96,0.018,107.032,109.456,True,True,False,1.499,0.913,0,2.306,2.396,0.002,245.14072601478787,,,,,,,1.073,1.017,0.05,0.47
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_piecewise,True,5,piecewise_lags_2_sinusoidal_yes,0.862,0.232,89.734,91.55,True,True,False,1.347,-0.255,0,2.53,3.166,0.142,243.65831266848485,1.588,0.669,,,,,1.047,1.0,0.577,0.602
