analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_yes_linear,True,9,linear_lags_2_sinusoidal_yes,0.823,0.705,292.843,297.822,True,True,True,1.872,0.799,0,1.0,,,1.0,0.01,,,1.0,1.0,0.0,0.006
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.009,0.502,957.985,961.963,False,False,False,0.211,-0.039,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.037,0.505,938.974,944.885,True,False,False,0.282,-0.224,0,1.0,1.0,0.29,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_no_linear,False,10,linear_lags_2_sinusoidal_no,0.055,0.783,922.833,928.687,True,False,False,0.264,-0.089,0,1.0,,,1.0,0.152,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_no_linear,False,10,linear_lags_6_sinusoidal_no,0.084,0.715,875.303,880.917,False,True,False,0.516,-0.349,0,1.0,,,,,1.0,0.172,,,,
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.301,0.086,943.092,951.047,True,False,False,0.406,0.182,0,1.0,,,,,,,1.0,1.0,0.0,0.175
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.319,0.099,924.644,934.496,True,False,False,0.49,-0.006,0,1.0,1.0,0.292,,,,,1.0,1.0,0.0,0.294
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_yes_linear,False,10,linear_lags_2_sinusoidal_yes,0.373,0.198,905.479,915.235,True,False,False,0.441,0.042,0,1.0,,,1.0,0.178,,,1.0,1.0,0.0,0.428
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_yes_linear,False,10,linear_lags_6_sinusoidal_yes,0.42,0.662,857.321,866.677,False,False,False,0.945,0.151,0,1.0,,,,,1.0,0.098,1.0,1.0,0.0,0.107
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.01,0.654,349.254,351.436,True,True,False,0.473,-0.614,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_no_linear,True,10,linear_lags_1_sinusoidal_no,0.147,0.192,333.712,336.846,True,False,False,0.529,-0.851,0,1.0,1.0,0.218,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_no_linear,True,10,linear_lags_2_sinusoidal_no,0.376,0.01,307.881,310.868,True,True,False,0.988,-0.18,0,1.0,,,1.0,0.337,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_yes_linear,True,10,linear_lags_none_sinusoidal_yes,0.598,0.044,333.428,337.792,True,True,False,1.345,0.214,0,1.0,,,,,,,1.0,1.0,0.0,0.017
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_yes_linear,True,10,linear_lags_1_sinusoidal_yes,0.708,0.194,315.178,320.401,True,False,True,1.619,0.039,0,1.0,1.0,0.126,,,,,1.0,1.0,0.0,0.004
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_yes_linear,True,10,linear_lags_2_sinusoidal_yes,0.791,0.63,289.969,294.948,True,False,True,2.405,0.59,0,1.0,,,1.0,0.042,,,1.0,1.0,0.0,0.001
