analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_4_lags_3_sinusoidal_yes_linear,False,4,linear_lags_3_sinusoidal_yes,0.542,0.184,115.891,117.88,True,True,False,1.352,-2.564,0,1.0,,,1.0,0.583,,,,,,,1.0,1.0,0.92,0.646
CPER-Cluster_2_yearly_False_window_4_lags_4_sinusoidal_yes_linear,False,4,linear_lags_4_sinusoidal_yes,0.273,0.696,113.689,115.202,True,True,False,0.707,-58.823,0,1.0,,,,,1.0,0.798,,,,,1.0,1.0,0.779,0.857
CPER-Cluster_2_yearly_False_window_4_lags_5_sinusoidal_yes_linear,False,4,linear_lags_5_sinusoidal_yes,0.733,0.22,84.569,85.555,True,True,False,3.329,-0.241,0,1.0,,,,,,,1.0,0.93,,,1.0,1.0,0.15,0.501
CPER-Cluster_2_yearly_False_window_4_lags_6_sinusoidal_yes_linear,False,4,linear_lags_6_sinusoidal_yes,0.875,0.459,76.766,77.164,True,True,False,3.258,-0.834,0,1.0,,,,,,,,,1.0,0.39,1.0,1.0,0.368,0.846
CPER-Cluster_2_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.263,0.061,134.863,136.141,True,True,False,1.256,-0.41,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_2_sinusoidal_no_linear,True,4,linear_lags_2_sinusoidal_no,0.443,0.035,119.354,120.809,True,True,False,1.374,-0.521,0,1.0,1.0,0.156,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_3_sinusoidal_no_linear,True,4,linear_lags_3_sinusoidal_no,0.523,0.105,112.334,113.528,True,True,False,1.446,-0.454,0,1.0,,,1.0,0.476,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_4_sinusoidal_no_linear,True,4,linear_lags_4_sinusoidal_no,0.259,0.551,109.881,110.789,True,False,False,0.676,-1.3,0,1.0,,,,,1.0,0.939,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_5_sinusoidal_no_linear,True,4,linear_lags_5_sinusoidal_no,0.486,0.254,86.471,87.062,True,True,False,2.654,-0.067,0,1.0,,,,,,,1.0,0.523,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_6_sinusoidal_no_linear,True,4,linear_lags_6_sinusoidal_no,0.823,0.249,75.557,75.795,True,True,False,2.698,0.624,0,1.0,,,,,,,,,1.0,0.168,,,,
CPER-Cluster_2_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.292,0.176,138.297,140.853,True,True,False,1.209,-1.276,0,1.0,,,,,,,,,,,1.0,1.0,0.584,0.858
CPER-Cluster_2_yearly_True_window_4_lags_2_sinusoidal_yes_linear,True,4,linear_lags_2_sinusoidal_yes,0.584,0.028,119.859,122.284,True,True,True,2.061,-6.244,0,1.0,1.0,0.089,,,,,,,,,1.0,1.0,0.408,0.214
CPER-Cluster_2_yearly_True_window_4_lags_3_sinusoidal_yes_linear,True,4,linear_lags_3_sinusoidal_yes,0.542,0.184,115.891,117.88,True,True,False,1.352,-2.564,0,1.0,,,1.0,0.583,,,,,,,1.0,1.0,0.92,0.646
CPER-Cluster_2_yearly_True_window_4_lags_4_sinusoidal_yes_linear,True,4,linear_lags_4_sinusoidal_yes,0.273,0.696,113.689,115.202,True,True,False,0.707,-58.823,0,1.0,,,,,1.0,0.798,,,,,1.0,1.0,0.779,0.857
CPER-Cluster_2_yearly_True_window_4_lags_5_sinusoidal_yes_linear,True,4,linear_lags_5_sinusoidal_yes,0.733,0.22,84.569,85.555,True,True,False,3.329,-0.241,0,1.0,,,,,,,1.0,0.93,,,1.0,1.0,0.15,0.501
CPER-Cluster_2_yearly_True_window_4_lags_6_sinusoidal_yes_linear,True,4,linear_lags_6_sinusoidal_yes,0.875,0.459,76.766,77.164,True,True,False,3.258,-0.834,0,1.0,,,,,,,,,1.0,0.39,1.0,1.0,0.368,0.846
CPER-Cluster_2_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.085,0.312,129.77,131.048,True,True,False,1.466,0.004,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_2_sinusoidal_no_linear,False,5,linear_lags_2_sinusoidal_no,0.281,0.118,118.878,120.333,True,True,False,0.897,0.077,0,1.0,1.0,0.309,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_3_sinusoidal_no_linear,False,5,linear_lags_3_sinusoidal_no,0.311,0.228,109.195,110.389,True,True,False,1.389,-0.838,0,1.0,,,1.0,0.616,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_4_sinusoidal_no_linear,False,5,linear_lags_4_sinusoidal_no,0.299,0.159,96.74,97.648,True,True,False,1.257,0.087,0,1.0,,,,,1.0,0.13,,,,,,,,
CPER-Cluster_2_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.094,0.436,133.638,136.194,True,True,False,1.461,-1.335,0,1.0,,,,,,,,,,,1.0,1.0,0.95,0.768
CPER-Cluster_2_yearly_False_window_5_lags_2_sinusoidal_yes_linear,False,5,linear_lags_2_sinusoidal_yes,0.392,0.099,120.863,123.288,True,True,False,1.286,-10.784,0,1.0,1.0,0.241,,,,,,,,,1.0,1.0,0.306,0.836
CPER-Cluster_2_yearly_False_window_5_lags_3_sinusoidal_yes_linear,False,5,linear_lags_3_sinusoidal_yes,0.37,0.225,112.219,114.208,True,True,True,1.673,-74.832,0,1.0,,,1.0,0.535,,,,,,,1.0,1.0,0.832,0.498
CPER-Cluster_2_yearly_False_window_5_lags_4_sinusoidal_yes_linear,False,5,linear_lags_4_sinusoidal_yes,0.311,0.423,100.579,102.092,True,True,False,1.44,-9.973,0,1.0,,,,,1.0,0.37,,,,,1.0,1.0,0.989,0.79
CPER-Cluster_2_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.085,0.312,129.77,131.048,True,True,False,1.466,0.004,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_2_sinusoidal_no_linear,True,5,linear_lags_2_sinusoidal_no,0.281,0.118,118.878,120.333,True,True,False,0.897,0.077,0,1.0,1.0,0.309,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_3_sinusoidal_no_linear,True,5,linear_lags_3_sinusoidal_no,0.311,0.228,109.195,110.389,True,True,False,1.389,-0.838,0,1.0,,,1.0,0.616,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_4_sinusoidal_no_linear,True,5,linear_lags_4_sinusoidal_no,0.299,0.159,96.74,97.648,True,True,False,1.257,0.087,0,1.0,,,,,1.0,0.13,,,,,,,,
CPER-Cluster_2_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.094,0.436,133.638,136.194,True,True,False,1.461,-1.335,0,1.0,,,,,,,,,,,1.0,1.0,0.95,0.768
CPER-Cluster_2_yearly_True_window_5_lags_2_sinusoidal_yes_linear,True,5,linear_lags_2_sinusoidal_yes,0.392,0.099,120.863,123.288,True,True,False,1.286,-10.784,0,1.0,1.0,0.241,,,,,,,,,1.0,1.0,0.306,0.836
CPER-Cluster_2_yearly_True_window_5_lags_3_sinusoidal_yes_linear,True,5,linear_lags_3_sinusoidal_yes,0.37,0.225,112.219,114.208,True,True,True,1.673,-74.832,0,1.0,,,1.0,0.535,,,,,,,1.0,1.0,0.832,0.498
CPER-Cluster_2_yearly_True_window_5_lags_4_sinusoidal_yes_linear,True,5,linear_lags_4_sinusoidal_yes,0.311,0.423,100.579,102.092,True,True,False,1.44,-9.973,0,1.0,,,,,1.0,0.37,,,,,1.0,1.0,0.989,0.79
