analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_yes_spline,True,6,spline_lags_4_sinusoidal_yes,0.086,0.357,397.478,406.903,False,True,False,0.532,-39.161,0,1.0,1.049,1.191,1.171,0.717,0.956,0.605,"[np.float64(494.9905), np.float64(554.9015), np.float64(567.30505), np.float64(579.28825), np.float64(614.68)]",,,,,,,1.286,0.321,,,1.062,1.062,0.821,0.697
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_yes_spline,True,6,spline_lags_7_sinusoidal_yes,0.245,0.288,348.678,357.034,False,True,False,0.58,-128.944,0,1.0,1.108,1.057,1.095,0.34,0.678,0.448,"[np.float64(494.9905), np.float64(543.9995), np.float64(567.85), np.float64(577.609), np.float64(614.68)]",,,,,,,,,1.092,0.64,1.106,1.061,0.367,0.872
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.307,0.201,879.217,889.069,False,True,False,0.771,-0.551,0,1.0,1.0,1.0,1.0,0.095,0.333,0.0,"[np.float64(500.913), np.float64(532.8796), np.float64(556.21), np.float64(589.534), np.float64(617.929)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_spline,False,7,spline_lags_1_sinusoidal_no,0.26,0.086,850.639,862.347,False,True,False,0.77,-1.047,0,1.0,1.132,1.035,1.005,0.026,0.714,0.042,"[np.float64(500.913), np.float64(543.052), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",1.172,0.008,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_no_spline,False,7,spline_lags_2_sinusoidal_no,0.14,0.226,840.093,851.684,False,True,False,0.813,-0.713,0,1.0,1.059,1.057,1.0,0.048,0.427,0.945,"[np.float64(500.913), np.float64(543.51), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",,,1.117,0.085,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_no_spline,False,7,spline_lags_3_sinusoidal_no,0.076,0.205,826.804,838.276,False,True,False,0.729,-0.054,0,1.0,1.079,1.068,1.011,0.169,0.652,0.859,"[np.float64(500.913), np.float64(540.0), np.float64(559.308), np.float64(589.534), np.float64(617.929)]",,,,,1.157,0.463,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_no_spline,False,7,spline_lags_4_sinusoidal_no,0.07,0.634,810.638,821.989,False,True,False,0.704,-0.055,0,1.0,1.077,1.145,1.007,0.2,0.612,0.7,"[np.float64(500.913), np.float64(540.0), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",,,,,,,1.229,0.956,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_no_spline,False,7,spline_lags_7_sinusoidal_no,0.156,0.502,761.442,772.414,False,True,False,0.875,-0.17,0,1.0,1.007,1.057,1.002,0.21,0.842,0.591,"[np.float64(500.913), np.float64(540.0), np.float64(559.435), np.float64(576.224), np.float64(617.929)]",,,,,,,,,1.066,0.064,,,,
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.378,0.291,877.457,891.249,False,False,False,0.839,-0.561,0,1.0,1.004,1.032,1.062,0.091,0.258,0.001,"[np.float64(500.913), np.float64(532.8796), np.float64(556.21), np.float64(589.534), np.float64(617.929)]",,,,,,,,,,,1.04,1.058,0.203,0.072
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_spline,False,7,spline_lags_1_sinusoidal_yes,0.3,0.185,851.771,867.381,False,True,False,0.833,-1.308,0,1.0,1.147,1.075,1.037,0.043,0.698,0.056,"[np.float64(500.913), np.float64(543.052), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",1.174,0.014,,,,,,,,,1.049,1.035,0.744,0.133
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_yes_spline,False,7,spline_lags_2_sinusoidal_yes,0.194,0.342,840.787,856.242,False,False,False,0.839,-0.689,0,1.0,1.068,1.086,1.029,0.054,0.398,0.956,"[np.float64(500.913), np.float64(543.51), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",,,1.117,0.107,,,,,,,1.04,1.025,0.518,0.129
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_yes_spline,False,7,spline_lags_3_sinusoidal_yes,0.159,0.345,826.093,841.389,False,False,False,0.756,-0.012,0,1.0,1.084,1.106,1.096,0.188,0.666,0.878,"[np.float64(500.913), np.float64(540.0), np.float64(559.308), np.float64(589.534), np.float64(617.929)]",,,,,1.158,0.608,,,,,1.108,1.02,0.592,0.056
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_yes_spline,False,7,spline_lags_4_sinusoidal_yes,0.149,0.798,810.267,825.402,False,False,False,0.746,0.032,0,1.0,1.081,1.176,1.043,0.197,0.645,0.887,"[np.float64(500.913), np.float64(540.0), np.float64(565.8), np.float64(589.534), np.float64(617.929)]",,,,,,,1.231,0.821,,,1.053,1.017,0.741,0.061
