analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_quadratic,True,1,quadratic_lags_2_sinusoidal_yes,0.905,0.03,110.221,111.404,True,True,False,2.516,-2.662,0,3.672,5.116,0.018,1.197,0.02,,,1.28,1.966,0.045,0.022
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_quadratic,True,1,quadratic_lags_3_sinusoidal_yes,0.937,0.192,96.247,96.724,True,True,False,2.62,-1.054,0,2.826,3.331,0.156,,,1.112,0.356,1.378,1.015,0.118,0.069
CPER-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.148,0.477,141.02,142.213,False,True,True,1.875,-1.532,0,1.397,1.397,0.327,,,,,,,,
CPER-Cluster_0_yearly_False_window_2_lags_2_sinusoidal_no_quadratic,False,2,quadratic_lags_2_sinusoidal_no,0.343,0.36,117.467,118.255,True,True,True,2.0,-7.895,0,1.564,1.594,0.81,1.03,0.228,,,,,,
CPER-Cluster_0_yearly_False_window_2_lags_3_sinusoidal_no_quadratic,False,2,quadratic_lags_3_sinusoidal_no,0.42,0.185,103.271,103.589,False,True,True,1.627,-8.038,0,1.534,1.534,0.598,,,1.0,0.236,,,,
CPER-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.402,0.995,141.119,143.108,True,False,True,1.776,-144.489,0,1.398,1.399,0.408,,,,,1.001,1.001,0.435,0.196
CPER-Cluster_0_yearly_False_window_2_lags_2_sinusoidal_yes_quadratic,False,2,quadratic_lags_2_sinusoidal_yes,0.379,0.629,120.964,122.148,True,True,True,1.538,-17.231,0,1.907,2.561,0.92,1.048,0.478,,,1.337,1.27,0.886,0.711
CPER-Cluster_0_yearly_False_window_2_lags_3_sinusoidal_yes_quadratic,False,2,quadratic_lags_3_sinusoidal_yes,0.941,0.312,88.948,89.425,True,True,True,1.838,-4.908,0,1.636,1.829,0.907,,,1.0,0.363,1.166,1.026,0.505,0.073
CPER-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.148,0.477,141.02,142.213,False,True,True,1.875,-1.532,0,1.397,1.397,0.327,,,,,,,,
CPER-Cluster_0_yearly_True_window_2_lags_2_sinusoidal_no_quadratic,True,2,quadratic_lags_2_sinusoidal_no,0.343,0.36,117.467,118.255,True,True,True,2.0,-7.895,0,1.564,1.594,0.81,1.03,0.228,,,,,,
CPER-Cluster_0_yearly_True_window_2_lags_3_sinusoidal_no_quadratic,True,2,quadratic_lags_3_sinusoidal_no,0.42,0.185,103.271,103.589,False,True,True,1.627,-8.038,0,1.534,1.534,0.598,,,1.0,0.236,,,,
CPER-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.402,0.995,141.119,143.108,True,False,True,1.776,-144.489,0,1.398,1.399,0.408,,,,,1.001,1.001,0.435,0.196
CPER-Cluster_0_yearly_True_window_2_lags_2_sinusoidal_yes_quadratic,True,2,quadratic_lags_2_sinusoidal_yes,0.379,0.629,120.964,122.148,True,True,True,1.538,-17.231,0,1.907,2.561,0.92,1.048,0.478,,,1.337,1.27,0.886,0.711
CPER-Cluster_0_yearly_True_window_2_lags_3_sinusoidal_yes_quadratic,True,2,quadratic_lags_3_sinusoidal_yes,0.941,0.312,88.948,89.425,True,True,True,1.838,-4.908,0,1.636,1.829,0.907,,,1.0,0.363,1.166,1.026,0.505,0.073
CPER-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.444,0.308,115.237,116.431,True,True,False,1.47,-0.467,0,1.79,1.79,0.309,,,,,,,,
CPER-Cluster_0_yearly_False_window_3_lags_2_sinusoidal_no_quadratic,False,3,quadratic_lags_2_sinusoidal_no,0.645,0.063,91.542,92.331,True,True,True,2.141,-0.109,0,2.237,2.268,0.911,1.031,0.163,,,,,,
CPER-Cluster_0_yearly_False_window_3_lags_3_sinusoidal_no_quadratic,False,3,quadratic_lags_3_sinusoidal_no,0.561,0.363,83.241,83.558,True,True,True,1.827,-0.042,0,2.486,2.52,0.564,,,1.034,0.255,,,,
CPER-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.541,0.216,117.128,119.117,True,True,True,1.673,-6.701,0,1.941,2.133,0.546,,,,,1.103,1.088,0.401,0.529
