analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.175,0.043,437.343,441.231,False,True,False,0.472,0.062,0,1.0,1.0,0.087,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_2_sinusoidal_no_linear,True,6,linear_lags_2_sinusoidal_no,0.087,0.227,421.508,425.282,False,True,False,0.55,-0.288,0,1.0,,,1.0,0.181,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_3_sinusoidal_no_linear,True,6,linear_lags_3_sinusoidal_no,0.037,0.372,403.959,407.616,False,True,False,0.563,-0.207,0,1.0,,,,,1.0,0.7,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_no_linear,True,6,linear_lags_4_sinusoidal_no,0.048,0.332,388.437,391.971,False,True,False,0.611,-0.703,0,1.0,,,,,,,1.0,0.386,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_no_linear,True,6,linear_lags_7_sinusoidal_no,0.114,0.19,342.017,345.151,False,True,False,0.522,-0.068,0,1.0,,,,,,,,,1.0,0.535,,,,
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.184,0.037,458.067,463.396,False,True,False,0.415,-0.202,0,1.0,,,,,,,,,,,1.0,1.0,0.402,0.382
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.187,0.044,440.939,447.418,False,True,False,0.433,-0.282,0,1.0,1.0,0.09,,,,,,,,,1.0,1.0,0.912,0.576
Croplands_cluster_0_yearly_True_window_6_lags_2_sinusoidal_yes_linear,True,6,linear_lags_2_sinusoidal_yes,0.099,0.231,425.176,431.467,False,True,False,0.506,-0.782,0,1.0,,,1.0,0.19,,,,,,,1.0,1.0,0.612,0.95
Croplands_cluster_0_yearly_True_window_6_lags_3_sinusoidal_yes_linear,True,6,linear_lags_3_sinusoidal_yes,0.076,0.274,406.91,413.004,False,True,False,0.507,-0.579,0,1.0,,,,,1.0,0.603,,,,,1.0,1.0,0.469,0.562
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_yes_linear,True,6,linear_lags_4_sinusoidal_yes,0.064,0.319,392.041,397.932,False,True,False,0.583,-2.21,0,1.0,,,,,,,1.0,0.374,,,1.0,1.0,0.866,0.603
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_yes_linear,True,6,linear_lags_7_sinusoidal_yes,0.144,0.205,345.309,350.531,False,True,False,0.442,-0.568,0,1.0,,,,,,,,,1.0,0.518,1.0,1.0,0.532,0.72
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.032,0.202,890.949,894.889,False,True,False,0.764,-0.033,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.099,0.088,854.916,860.77,False,True,False,0.785,0.014,0,1.0,1.0,0.042,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_no_linear,False,7,linear_lags_2_sinusoidal_no,0.049,0.162,839.195,844.991,False,True,False,0.634,-0.0,0,1.0,,,1.0,0.224,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_no_linear,False,7,linear_lags_3_sinusoidal_no,0.03,0.277,823.256,828.992,False,True,False,0.647,-0.011,0,1.0,,,,,1.0,0.857,,,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_no_linear,False,7,linear_lags_4_sinusoidal_no,0.026,0.701,806.891,812.566,False,True,False,0.626,-0.082,0,1.0,,,,,,,1.0,0.552,,,,,,
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_no_linear,False,7,linear_lags_7_sinusoidal_no,0.114,0.426,757.669,763.155,False,True,False,0.835,0.005,0,1.0,,,,,,,,,1.0,0.042,,,,
Croplands_cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.141,0.339,888.587,896.468,False,False,False,0.851,0.003,0,1.0,,,,,,,,,,,1.0,1.0,0.475,0.021
Croplands_cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.165,0.23,854.942,864.698,False,True,False,0.864,-0.169,0,1.0,1.0,0.062,,,,,,,,,1.0,1.0,0.896,0.061
Croplands_cluster_0_yearly_False_window_7_lags_2_sinusoidal_yes_linear,False,7,linear_lags_2_sinusoidal_yes,0.107,0.252,840.021,849.68,False,False,False,0.688,-0.07,0,1.0,,,1.0,0.265,,,,,,,1.0,1.0,0.469,0.129
