analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_True_window_4_lags_3_sinusoidal_no_quadratic,True,4,quadratic_lags_3_sinusoidal_no,0.713,0.053,86.584,87.372,True,True,False,1.455,0.047,0,1.853,1.853,0.866,,,1.0,0.631,,,,,,
CPER-Cluster_1_yearly_True_window_4_lags_4_sinusoidal_no_quadratic,True,4,quadratic_lags_4_sinusoidal_no,0.981,0.0,59.176,59.494,True,True,True,2.329,0.485,0,1.507,1.541,0.149,,,,,1.034,0.007,,,,
CPER-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.718,0.004,134.847,137.271,True,True,True,1.58,0.248,0,2.614,3.224,0.274,,,,,,,1.071,1.538,0.337,0.413
CPER-Cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_quadratic,True,4,quadratic_lags_2_sinusoidal_yes,0.941,0.01,89.081,90.896,True,True,True,1.946,0.37,0,2.154,2.814,0.826,1.289,0.788,,,,,1.002,1.368,0.644,0.112
CPER-Cluster_1_yearly_True_window_4_lags_3_sinusoidal_yes_quadratic,True,4,quadratic_lags_3_sinusoidal_yes,0.868,0.084,83.621,84.805,True,True,False,1.056,-0.039,0,2.168,2.537,0.627,,,1.0,0.757,,,1.167,1.202,0.676,0.159
CPER-Cluster_1_yearly_True_window_4_lags_4_sinusoidal_yes_quadratic,True,4,quadratic_lags_4_sinusoidal_yes,0.991,0.034,57.155,57.631,True,True,True,2.238,0.391,0,1.536,1.629,0.186,,,,,1.036,0.085,1.007,1.051,0.28,0.535
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.886,0.0,115.603,117.058,True,True,True,1.909,0.686,0,1.929,1.929,0.063,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_quadratic,False,5,quadratic_lags_2_sinusoidal_no,0.741,0.231,92.052,93.262,True,True,True,1.801,-8.461,0,1.516,1.525,0.172,1.009,0.539,,,,,,,,
CPER-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.899,0.001,118.145,120.569,True,True,True,1.813,0.677,0,2.078,2.237,0.072,,,,,,,1.158,1.001,0.452,0.608
CPER-Cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_quadratic,False,5,quadratic_lags_2_sinusoidal_yes,0.781,0.331,94.374,96.189,True,True,True,2.053,-46.196,0,1.607,1.795,0.477,1.011,0.717,,,,,1.001,1.176,0.558,0.665
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.886,0.0,115.603,117.058,True,True,True,1.909,0.686,0,1.929,1.929,0.063,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_quadratic,True,5,quadratic_lags_2_sinusoidal_no,0.741,0.231,92.052,93.262,True,True,True,1.801,-8.461,0,1.516,1.525,0.172,1.009,0.539,,,,,,,,
CPER-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.899,0.001,118.145,120.569,True,True,True,1.813,0.677,0,2.078,2.237,0.072,,,,,,,1.158,1.001,0.452,0.608
CPER-Cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_quadratic,True,5,quadratic_lags_2_sinusoidal_yes,0.781,0.331,94.374,96.189,True,True,True,2.053,-46.196,0,1.607,1.795,0.477,1.011,0.717,,,,,1.001,1.176,0.558,0.665
