analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.296,0.013,912.235,922.086,False,True,False,1.456,-0.761,0,3.945,4.065,0.02,500.913,,,,,,,,,,,1.0,1.12,0.402,0.144
Croplands_cluster_0_yearly_False_window_5_lags_1_sinusoidal_yes_piecewise,False,5,piecewise_lags_1_sinusoidal_yes,0.191,0.382,885.842,897.549,False,False,False,1.241,0.032,0,3.285,3.676,0.2,519.3731767676768,1.267,0.299,,,,,,,,,1.0,1.124,0.518,0.272
Croplands_cluster_0_yearly_False_window_5_lags_2_sinusoidal_yes_piecewise,False,5,piecewise_lags_2_sinusoidal_yes,0.264,0.269,873.305,884.896,False,False,False,1.002,0.149,0,3.594,4.126,0.103,519.2995858585858,,,1.447,0.137,,,,,,,1.0,1.084,0.128,0.369
Croplands_cluster_0_yearly_False_window_5_lags_3_sinusoidal_yes_piecewise,False,5,piecewise_lags_3_sinusoidal_yes,0.252,0.209,846.795,858.267,False,True,False,1.072,0.132,0,4.286,5.156,0.111,519.307795959596,,,,,1.823,0.569,,,,,1.006,1.041,0.391,0.088
Croplands_cluster_0_yearly_False_window_5_lags_4_sinusoidal_yes_piecewise,False,5,piecewise_lags_4_sinusoidal_yes,0.217,0.194,831.478,842.829,False,True,False,1.011,-0.063,0,4.702,5.869,0.127,519.316006060606,,,,,,,2.129,0.344,,,1.009,1.028,0.495,0.137
Croplands_cluster_0_yearly_False_window_5_lags_7_sinusoidal_yes_piecewise,False,5,piecewise_lags_7_sinusoidal_yes,0.286,0.089,780.493,791.465,False,True,False,1.254,0.109,0,4.935,6.447,0.077,519.3406363636363,,,,,,,,,2.445,0.081,1.0,1.067,0.156,0.121
Croplands_cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.145,0.065,461.614,465.611,False,True,False,0.678,-0.302,0,1.283,1.283,0.338,569.7352515151515,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_1_sinusoidal_no_piecewise,True,5,piecewise_lags_1_sinusoidal_no,0.216,0.43,442.575,447.758,False,True,False,0.602,-563.176,0,3.168,3.3,0.137,543.51,1.131,0.082,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_2_sinusoidal_no_piecewise,True,5,piecewise_lags_2_sinusoidal_no,0.14,0.26,426.96,431.993,False,True,False,0.66,-3.513,0,3.105,3.293,0.509,549.505,,,1.188,0.092,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_3_sinusoidal_no_piecewise,True,5,piecewise_lags_3_sinusoidal_no,0.059,0.972,411.137,416.013,False,True,False,0.541,-0.234,0,3.383,3.606,0.758,543.51,,,,,1.223,0.705,,,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_4_sinusoidal_no_piecewise,True,5,piecewise_lags_4_sinusoidal_no,0.07,0.236,395.176,399.888,True,True,False,0.781,-0.646,0,1.377,1.504,0.338,570.0333505050505,,,,,,,1.128,0.37,,,,,,
Croplands_cluster_0_yearly_True_window_5_lags_7_sinusoidal_no_piecewise,True,5,piecewise_lags_7_sinusoidal_no,0.247,0.037,344.51,348.688,True,True,False,0.491,-1.074,0,1.525,1.766,0.096,569.2327222222223,,,,,,,,,1.242,0.247,,,,
Croplands_cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.174,0.056,464.621,471.282,False,True,False,0.667,-0.439,0,1.294,1.333,0.287,569.7352515151515,,,,,,,,,,,1.032,1.007,0.841,0.383
Croplands_cluster_0_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.226,0.401,446.201,453.976,False,True,False,0.586,-641.162,0,3.192,3.335,0.14,543.51,1.133,0.097,,,,,,,,,1.011,1.0,0.595,0.991
Croplands_cluster_0_yearly_True_window_5_lags_2_sinusoidal_yes_piecewise,True,5,piecewise_lags_2_sinusoidal_yes,0.145,0.266,430.803,438.351,False,True,False,0.658,-3.652,0,3.14,3.348,0.499,549.505,,,1.191,0.104,,,,,,,1.012,1.005,0.948,0.735
Croplands_cluster_0_yearly_True_window_5_lags_3_sinusoidal_yes_piecewise,True,5,piecewise_lags_3_sinusoidal_yes,0.066,0.894,414.958,422.271,True,True,False,0.53,-0.37,0,3.406,3.641,0.851,543.51,,,,,1.225,0.665,,,,,1.009,1.001,0.902,0.728
Croplands_cluster_0_yearly_True_window_5_lags_4_sinusoidal_yes_piecewise,True,5,piecewise_lags_4_sinusoidal_yes,0.08,0.235,398.929,405.998,True,True,False,0.755,-1.502,0,1.383,1.531,0.328,570.0333505050505,,,,,,,1.13,0.366,,,1.011,1.007,0.945,0.675
Croplands_cluster_0_yearly_True_window_5_lags_7_sinusoidal_yes_piecewise,True,5,piecewise_lags_7_sinusoidal_yes,0.249,0.051,348.454,354.721,True,True,False,0.513,-5.737,0,1.552,1.857,0.127,569.2327222222223,,,,,,,,,1.254,0.28,1.005,1.047,0.846,0.971
Croplands_cluster_0_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.157,0.621,907.177,913.087,False,True,False,0.989,0.059,0,1.702,1.702,0.087,543.3264888888889,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.16,0.289,871.098,878.903,False,True,False,1.02,0.029,0,2.198,2.315,0.068,533.604355050505,1.117,0.241,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_2_sinusoidal_no_piecewise,False,6,piecewise_lags_2_sinusoidal_no,0.313,0.071,854.454,862.181,False,False,False,0.906,0.24,0,1.954,2.125,0.002,542.6068484848485,,,1.172,0.036,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_3_sinusoidal_no_piecewise,False,6,piecewise_lags_3_sinusoidal_no,0.24,0.03,830.387,838.035,False,True,False,0.845,0.117,0,2.737,3.204,0.003,535.1917909090909,,,,,1.467,0.874,,,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_4_sinusoidal_no_piecewise,False,6,piecewise_lags_4_sinusoidal_no,0.198,0.028,813.74,821.308,False,True,False,0.781,0.121,0,2.967,3.679,0.005,535.2542282828283,,,,,,,1.712,0.958,,,,,,
Croplands_cluster_0_yearly_False_window_6_lags_7_sinusoidal_no_piecewise,False,6,piecewise_lags_7_sinusoidal_no,0.246,0.011,765.402,772.717,False,True,False,0.946,0.099,0,2.986,4.014,0.004,536.4212474747475,,,,,,,,,2.028,0.216,,,,
Croplands_cluster_0_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.193,0.397,908.874,918.726,False,True,False,1.132,-0.048,0,1.725,1.758,0.053,543.3264888888889,,,,,,,,,,,1.002,1.031,0.359,0.264
Croplands_cluster_0_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.164,0.257,874.82,886.528,False,True,False,1.077,-0.155,0,2.27,2.454,0.065,533.604355050505,1.124,0.298,,,,,,,,,1.001,1.059,0.933,0.627
Croplands_cluster_0_yearly_False_window_6_lags_2_sinusoidal_yes_piecewise,False,6,piecewise_lags_2_sinusoidal_yes,0.339,0.048,856.525,868.116,False,True,False,1.02,0.163,0,1.969,2.159,0.001,542.6068484848485,,,1.174,0.047,,,,,,,1.003,1.013,0.308,0.413
Croplands_cluster_0_yearly_False_window_6_lags_3_sinusoidal_yes_piecewise,False,6,piecewise_lags_3_sinusoidal_yes,0.268,0.021,832.458,843.93,False,True,False,0.953,0.075,0,2.78,3.283,0.002,535.1917909090909,,,,,1.479,0.996,,,,,1.004,1.021,0.879,0.198
