analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.372,0.001,675.39,684.891,True,True,True,2.24,-0.078,0,1.943,1.996,0.23,,,1.02,0.03,1.031,1.001,0.309,0.662
Maize_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.166,0.001,1299.655,1306.358,True,True,False,0.969,-0.079,0,1.556,1.556,0.595,,,,,,,,
Maize_yearly_False_window_2_lags_0_sinusoidal_no_quadratic,False,2,quadratic_lags_0_sinusoidal_no,0.218,0.0,1297.245,1306.182,False,True,False,1.063,-0.106,0,1.558,1.562,0.507,1.004,0.042,,,,,,
Maize_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.181,0.001,1277.717,1286.595,True,True,False,1.033,0.031,0,1.569,1.569,0.404,,,1.0,0.68,,,,
Maize_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.178,0.001,1302.704,1313.875,True,True,False,0.988,-0.157,0,1.563,1.575,0.604,,,,,1.004,1.008,0.466,0.559
Maize_yearly_False_window_2_lags_0_sinusoidal_yes_quadratic,False,2,quadratic_lags_0_sinusoidal_yes,0.23,0.0,1300.206,1313.61,True,True,False,1.049,-0.64,0,1.569,1.593,0.458,1.008,0.037,,,1.004,1.012,0.459,0.808
Maize_yearly_False_window_2_lags_1_sinusoidal_yes_quadratic,False,2,quadratic_lags_1_sinusoidal_yes,0.188,0.001,1281.192,1294.509,True,True,False,1.048,0.001,0,1.579,1.595,0.388,,,1.0,0.672,1.004,1.013,0.491,0.962
Maize_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.439,0.0,670.877,675.71,True,True,False,1.143,0.174,0,1.763,1.763,0.642,,,,,,,,
Maize_yearly_True_window_2_lags_0_sinusoidal_no_quadratic,True,2,quadratic_lags_0_sinusoidal_no,0.597,0.0,660.651,667.095,True,True,True,1.64,0.445,0,1.77,1.778,0.348,1.009,0.001,,,,,,
Maize_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.59,0.0,639.153,645.487,True,True,False,1.38,0.43,0,1.857,1.91,0.122,,,1.052,0.108,,,,
Maize_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.47,0.0,672.771,680.826,True,True,False,1.233,0.13,0,1.829,1.916,0.59,,,,,1.001,1.086,0.206,0.665
Maize_yearly_True_window_2_lags_0_sinusoidal_yes_quadratic,True,2,quadratic_lags_0_sinusoidal_yes,0.616,0.0,662.83,672.495,True,True,True,1.722,0.357,0,1.831,1.92,0.391,1.009,0.001,,,1.001,1.079,0.221,0.967
Maize_yearly_True_window_2_lags_1_sinusoidal_yes_quadratic,True,2,quadratic_lags_1_sinusoidal_yes,0.624,0.0,640.047,649.548,True,True,True,1.505,0.39,0,1.911,2.029,0.213,,,1.056,0.083,1.001,1.062,0.159,0.418
Maize_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.253,0.0,1268.133,1274.835,False,True,False,0.893,0.149,0,1.762,1.762,0.23,,,,,,,,
Maize_yearly_False_window_3_lags_0_sinusoidal_no_quadratic,False,3,quadratic_lags_0_sinusoidal_no,0.287,0.0,1266.878,1275.814,False,True,False,0.998,0.15,0,1.766,1.772,0.165,1.006,0.081,,,,,,
Maize_yearly_False_window_3_lags_1_sinusoidal_no_quadratic,False,3,quadratic_lags_1_sinusoidal_no,0.267,0.0,1249.647,1258.525,False,True,False,0.934,0.207,0,1.793,1.811,0.152,,,1.017,0.748,,,,
Maize_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.269,0.0,1270.645,1281.815,False,True,False,0.91,0.104,0,1.762,1.763,0.225,,,,,1.0,1.0,0.358,0.467
Maize_yearly_False_window_3_lags_0_sinusoidal_yes_quadratic,False,3,quadratic_lags_0_sinusoidal_yes,0.288,0.0,1270.778,1284.182,False,True,False,0.967,-0.069,0,1.768,1.776,0.178,1.008,0.158,,,1.0,1.0,0.378,0.58
Maize_yearly_False_window_3_lags_1_sinusoidal_yes_quadratic,False,3,quadratic_lags_1_sinusoidal_yes,0.278,0.0,1252.655,1265.972,False,True,False,0.948,0.158,0,1.794,1.811,0.156,,,1.017,0.748,1.0,1.0,0.381,0.721
Maize_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.615,0.0,643.173,648.006,True,True,False,0.804,0.508,0,1.661,1.661,0.701,,,,,,,,
Maize_yearly_True_window_3_lags_0_sinusoidal_no_quadratic,True,3,quadratic_lags_0_sinusoidal_no,0.656,0.0,641.048,647.491,True,True,False,1.032,0.565,0,1.695,1.747,0.364,1.052,0.057,,,,,,
