analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_6_lags_4_sinusoidal_no_piecewise,True,6,piecewise_lags_4_sinusoidal_no,0.715,0.0,546.327,552.548,True,False,False,0.334,0.51,0,1.237,1.357,0.017,834.6232334836191,,,,,,,1.12,0.032,,,,,,
Croplands_yearly_True_window_6_lags_5_sinusoidal_no_piecewise,True,6,piecewise_lags_5_sinusoidal_no,0.768,0.0,522.906,529.011,True,False,False,0.561,0.721,0,1.254,1.406,0.001,832.7988179970423,,,,,,,,,1.152,0.003,,,,
Croplands_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.669,0.0,609.822,618.139,False,True,False,0.405,0.631,0,1.338,1.404,0.002,817.8868222798889,,,,,,,,,,,1.065,1.001,0.06,0.798
Croplands_yearly_True_window_6_lags_1_sinusoidal_yes_piecewise,True,6,piecewise_lags_1_sinusoidal_yes,0.806,0.0,577.907,587.732,True,False,False,1.103,0.616,0,1.257,1.387,0.0,831.8391825736953,1.045,0.001,,,,,,,,,1.082,1.003,0.052,0.825
Croplands_yearly_True_window_6_lags_2_sinusoidal_yes_piecewise,True,6,piecewise_lags_2_sinusoidal_yes,0.856,0.0,552.598,562.264,True,False,False,1.039,0.71,0,1.249,1.466,0.0,831.9508443097734,,,1.107,0.0,,,,,,,1.103,1.006,0.01,0.868
Croplands_yearly_True_window_6_lags_3_sinusoidal_yes_piecewise,True,6,piecewise_lags_3_sinusoidal_yes,0.771,0.0,557.481,566.982,True,False,False,0.545,0.533,0,1.259,1.504,0.001,833.6969461722398,,,,,1.121,0.015,,,,,1.114,1.01,0.08,0.73
Croplands_yearly_True_window_6_lags_4_sinusoidal_yes_piecewise,True,6,piecewise_lags_4_sinusoidal_yes,0.748,0.0,545.946,555.278,True,False,False,0.458,0.484,0,1.268,1.538,0.003,834.6232334836191,,,,,,,1.137,0.042,,,1.129,1.004,0.06,0.964
Croplands_yearly_True_window_6_lags_5_sinusoidal_yes_piecewise,True,6,piecewise_lags_5_sinusoidal_yes,0.792,0.0,523.169,532.327,True,False,False,0.67,0.699,0,1.277,1.533,0.0,832.7988179970423,,,,,,,,,1.166,0.004,1.088,1.002,0.104,0.555
Croplands_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.315,0.0,3056.107,3065.618,True,False,False,0.589,0.292,0,1.352,1.352,0.052,856.6368977085136,,,,,,,,,,,,,,
Croplands_yearly_False_window_7_lags_1_sinusoidal_no_piecewise,False,7,piecewise_lags_1_sinusoidal_no,0.317,0.0,3041.337,3053.996,True,False,False,0.594,0.269,0,1.628,1.652,0.046,815.8775870753245,1.024,0.902,,,,,,,,,,,,
Croplands_yearly_False_window_7_lags_2_sinusoidal_no_piecewise,False,7,piecewise_lags_2_sinusoidal_no,0.328,0.0,3024.082,3036.718,True,False,False,0.578,0.301,0,1.383,1.42,0.032,856.4181651670995,,,1.037,0.512,,,,,,,,,,
Croplands_yearly_False_window_7_lags_3_sinusoidal_no_piecewise,False,7,piecewise_lags_3_sinusoidal_no,0.081,0.005,3163.31,3175.923,False,False,False,1.008,0.02,0,2.873,2.974,0.085,724.544801611544,,,,,1.101,0.502,,,,,,,,
Croplands_yearly_False_window_7_lags_4_sinusoidal_no_piecewise,False,7,piecewise_lags_4_sinusoidal_no,0.319,0.0,2991.093,3003.683,True,False,False,0.581,0.281,0,1.4,1.462,0.039,856.1994326256853,,,,,,,1.061,0.846,,,,,,
Croplands_yearly_False_window_7_lags_5_sinusoidal_no_piecewise,False,7,piecewise_lags_5_sinusoidal_no,0.078,0.009,3127.287,3139.853,False,False,False,0.976,0.044,0,2.849,3.011,0.112,727.0402185281384,,,,,,,,,1.162,0.93,,,,
Croplands_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.317,0.0,3059.747,3075.599,True,False,False,0.59,0.285,0,1.382,1.466,0.091,856.6368977085136,,,,,,,,,,,1.0,1.084,0.756,0.623
Croplands_yearly_False_window_7_lags_1_sinusoidal_yes_piecewise,False,7,piecewise_lags_1_sinusoidal_yes,0.319,0.0,3044.695,3063.684,True,False,False,0.596,0.265,0,1.684,1.8,0.078,815.8775870753245,1.027,0.883,,,,,,,,,1.002,1.087,0.578,0.61
Croplands_yearly_False_window_7_lags_2_sinusoidal_yes_piecewise,False,7,piecewise_lags_2_sinusoidal_yes,0.33,0.0,3027.415,3046.369,True,False,False,0.576,0.285,0,1.426,1.577,0.078,856.4181651670995,,,1.041,0.493,,,,,,,1.0,1.11,0.916,0.429
Croplands_yearly_False_window_7_lags_3_sinusoidal_yes_piecewise,False,7,piecewise_lags_3_sinusoidal_yes,0.097,0.008,3164.413,3183.333,False,False,False,1.035,0.021,0,3.041,3.241,0.113,724.544801611544,,,,,1.111,0.437,,,,,1.0,1.089,0.178,0.421
Croplands_yearly_False_window_7_lags_4_sinusoidal_yes_piecewise,False,7,piecewise_lags_4_sinusoidal_yes,0.321,0.0,2994.737,3013.622,True,False,False,0.58,0.273,0,1.456,1.664,0.072,856.1994326256853,,,,,,,1.07,0.88,,,1.0,1.138,0.781,0.609
Croplands_yearly_False_window_7_lags_5_sinusoidal_yes_piecewise,False,7,piecewise_lags_5_sinusoidal_yes,0.093,0.012,3128.452,3147.302,False,False,False,1.004,-0.012,0,3.086,3.396,0.127,727.0402185281384,,,,,,,,,1.182,0.984,1.004,1.124,0.156,0.528
Croplands_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.634,0.0,607.248,612.239,False,False,False,0.321,0.593,0,1.133,1.133,0.015,852.9972208376053,,,,,,,,,,,,,,
Croplands_yearly_True_window_7_lags_1_sinusoidal_no_piecewise,True,7,piecewise_lags_1_sinusoidal_no,0.774,0.0,575.782,582.333,True,False,False,0.882,0.668,0,1.175,1.223,0.0,845.7943282306084,1.048,0.0,,,,,,,,,,,,
Croplands_yearly_True_window_7_lags_2_sinusoidal_no_piecewise,True,7,piecewise_lags_2_sinusoidal_no,0.848,0.0,547.854,554.297,False,False,False,0.786,0.798,0,1.177,1.256,0.0,847.8866631868797,,,1.079,0.0,,,,,,,,,,
Croplands_yearly_True_window_7_lags_3_sinusoidal_no_piecewise,True,7,piecewise_lags_3_sinusoidal_no,0.778,0.0,548.619,554.953,True,False,False,0.59,0.658,0,1.165,1.235,0.002,851.2831200519769,,,,,1.07,0.0,,,,,,,,
Croplands_yearly_True_window_7_lags_4_sinusoidal_no_piecewise,True,7,piecewise_lags_4_sinusoidal_no,0.757,0.0,536.828,543.05,True,False,False,0.488,0.605,0,1.169,1.239,0.007,851.6320335987742,,,,,,,1.07,0.001,,,,,,
Croplands_yearly_True_window_7_lags_5_sinusoidal_no_piecewise,True,7,piecewise_lags_5_sinusoidal_no,0.829,0.0,510.364,516.469,True,False,False,0.654,0.787,0,1.201,1.289,0.001,846.5646646195469,,,,,,,,,1.088,0.0,,,,
Croplands_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.666,0.0,607.751,616.068,False,True,False,0.422,0.603,0,1.149,1.269,0.004,852.9972208376053,,,,,,,,,,,1.091,1.029,0.111,0.413
Croplands_yearly_True_window_7_lags_1_sinusoidal_yes_piecewise,True,7,piecewise_lags_1_sinusoidal_yes,0.784,0.0,578.107,587.933,True,False,False,0.915,0.644,0,1.19,1.327,0.0,845.7943282306084,1.052,0.0,,,,,,,,,1.065,1.02,0.262,0.669
Croplands_yearly_True_window_7_lags_2_sinusoidal_yes_piecewise,True,7,piecewise_lags_2_sinusoidal_yes,0.859,0.0,549.004,558.669,True,False,False,0.865,0.77,0,1.192,1.362,0.0,847.8866631868797,,,1.086,0.0,,,,,,,1.062,1.023,0.136,0.653
Croplands_yearly_True_window_7_lags_3_sinusoidal_yes_piecewise,True,7,piecewise_lags_3_sinusoidal_yes,0.798,0.0,549.102,558.603,True,False,False,0.734,0.632,0,1.183,1.369,0.001,851.2831200519769,,,,,1.078,0.0,,,,,1.076,1.031,0.137,0.334
Croplands_yearly_True_window_7_lags_4_sinusoidal_yes_piecewise,True,7,piecewise_lags_4_sinusoidal_yes,0.785,0.0,536.575,545.907,True,False,False,0.635,0.597,0,1.188,1.383,0.001,851.6320335987742,,,,,,,1.078,0.001,,,1.086,1.031,0.073,0.512
Croplands_yearly_True_window_7_lags_5_sinusoidal_yes_piecewise,True,7,piecewise_lags_5_sinusoidal_yes,0.84,0.0,512.051,521.209,True,False,False,0.726,0.766,0,1.22,1.412,0.0,846.5646646195469,,,,,,,,,1.097,0.0,1.062,1.034,0.179,0.716
Croplands_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.345,0.0,3030.195,3039.707,False,False,False,0.591,0.326,0,1.608,1.608,0.008,812.1799067021465,,,,,,,,,,,,,,
Croplands_yearly_False_window_8_lags_1_sinusoidal_no_piecewise,False,8,piecewise_lags_1_sinusoidal_no,0.347,0.0,3015.401,3028.06,False,False,False,0.592,0.326,0,1.629,1.649,0.007,812.812412865808,1.02,0.969,,,,,,,,,,,,
Croplands_yearly_False_window_8_lags_2_sinusoidal_no_piecewise,False,8,piecewise_lags_2_sinusoidal_no,0.357,0.0,2998.907,3011.543,True,False,False,0.585,0.327,0,1.648,1.695,0.005,813.4449190294697,,,1.047,0.717,,,,,,,,,,
Croplands_yearly_False_window_8_lags_3_sinusoidal_no_piecewise,False,8,piecewise_lags_3_sinusoidal_no,0.134,0.0,3101.359,3113.972,False,False,False,0.864,0.103,0,1.653,1.719,0.047,814.0774251931314,,,,,1.066,0.467,,,,,,,,
Croplands_yearly_False_window_8_lags_4_sinusoidal_no_piecewise,False,8,piecewise_lags_4_sinusoidal_no,0.35,0.0,2965.81,2978.4,False,False,False,0.597,0.313,0,1.669,1.738,0.006,811.7253821211995,,,,,,,1.069,0.67,,,,,,
Croplands_yearly_False_window_8_lags_5_sinusoidal_no_piecewise,False,8,piecewise_lags_5_sinusoidal_no,0.138,0.0,3066.777,3079.343,False,False,False,0.851,0.092,0,1.653,1.725,0.04,812.3464905443182,,,,,,,,,1.072,0.602,,,,
Croplands_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.348,0.0,3033.257,3049.11,False,False,False,0.591,0.307,0,1.657,1.737,0.012,812.1799067021465,,,,,,,,,,,1.003,1.077,0.393,0.724
Croplands_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.351,0.0,3018.374,3037.362,False,False,False,0.59,0.309,0,1.689,1.807,0.011,812.812412865808,1.022,0.944,,,,,,,,,1.003,1.092,0.393,0.658
Croplands_yearly_False_window_8_lags_2_sinusoidal_yes_piecewise,False,8,piecewise_lags_2_sinusoidal_yes,0.36,0.0,3002.133,3021.087,True,False,False,0.582,0.309,0,1.722,1.887,0.013,813.4449190294697,,,1.052,0.687,,,,,,,1.004,1.109,0.593,0.524
Croplands_yearly_False_window_8_lags_3_sinusoidal_yes_piecewise,False,8,piecewise_lags_3_sinusoidal_yes,0.143,0.0,3103.708,3122.628,False,False,False,0.862,0.079,0,1.739,1.947,0.089,814.0774251931314,,,,,1.075,0.419,,,,,1.005,1.127,0.425,0.356
Croplands_yearly_False_window_8_lags_4_sinusoidal_yes_piecewise,False,8,piecewise_lags_4_sinusoidal_yes,0.353,0.0,2968.956,2987.841,False,False,False,0.598,0.302,0,1.765,1.987,0.01,811.7253821211995,,,,,,,1.079,0.712,,,1.009,1.135,0.413,0.741
Croplands_yearly_False_window_8_lags_5_sinusoidal_yes_piecewise,False,8,piecewise_lags_5_sinusoidal_yes,0.145,0.0,3069.297,3088.147,False,False,False,0.85,0.011,0,1.754,1.991,0.079,812.3464905443182,,,,,,,,,1.083,0.551,1.012,1.142,0.45,0.386
Croplands_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.643,0.0,600.794,605.785,True,False,False,0.251,0.598,0,1.113,1.113,0.039,856.0695218852976,,,,,,,,,,,,,,
Croplands_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.754,0.0,573.299,579.849,True,False,False,0.699,0.641,0,1.124,1.15,0.002,854.9564319476696,1.026,0.002,,,,,,,,,,,,
Croplands_yearly_True_window_8_lags_2_sinusoidal_no_piecewise,True,8,piecewise_lags_2_sinusoidal_no,0.829,0.0,546.981,553.425,True,False,False,0.647,0.744,0,1.127,1.163,0.001,855.5482902813636,,,1.036,0.0,,,,,,,,,,
