analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_5_lags_5_sinusoidal_no_linear,True,5,linear_lags_5_sinusoidal_no,0.232,0.03,448.892,452.426,False,True,False,0.289,0.186,0,1.0,,,1.0,0.02,,,,
Croplands_cluster_2_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.028,0.792,525.185,530.654,False,True,False,0.245,-0.911,0,1.0,,,,,1.0,1.0,0.945,0.441
Croplands_cluster_2_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.049,0.95,509.02,515.681,True,True,False,0.255,-0.437,0,1.0,1.0,0.465,,,1.0,1.0,0.911,0.476
Croplands_cluster_2_yearly_True_window_5_lags_5_sinusoidal_yes_linear,True,5,linear_lags_5_sinusoidal_yes,0.247,0.032,452.424,458.314,False,True,False,0.323,0.139,0,1.0,,,1.0,0.023,1.0,1.0,0.736,0.615
Croplands_cluster_2_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.002,0.693,1253.365,1257.833,False,True,False,0.358,-0.002,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.014,0.578,1237.163,1243.822,True,True,False,0.338,-0.107,0,1.0,1.0,0.37,,,,,,
Croplands_cluster_2_yearly_False_window_6_lags_5_sinusoidal_no_linear,False,6,linear_lags_5_sinusoidal_no,0.002,0.787,1171.318,1177.795,True,True,False,0.327,-0.115,0,1.0,,,1.0,0.943,,,,
Croplands_cluster_2_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.066,0.559,1252.794,1261.73,False,False,False,0.395,0.027,0,1.0,,,,,1.0,1.0,0.044,0.64
Croplands_cluster_2_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.076,0.477,1236.736,1247.834,True,False,False,0.372,-0.083,0,1.0,1.0,0.344,,,1.0,1.0,0.052,0.571
Croplands_cluster_2_yearly_False_window_6_lags_5_sinusoidal_yes_linear,False,6,linear_lags_5_sinusoidal_yes,0.071,0.735,1170.707,1181.501,False,True,False,0.356,-0.099,0,1.0,,,1.0,0.908,1.0,1.0,0.057,0.431
Croplands_cluster_2_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.001,0.875,520.475,523.21,False,True,False,0.146,-0.136,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.066,0.816,502.995,506.991,True,True,False,0.228,-0.149,0,1.0,1.0,0.201,,,,,,
Croplands_cluster_2_yearly_True_window_6_lags_5_sinusoidal_no_linear,True,6,linear_lags_5_sinusoidal_no,0.185,0.057,447.887,451.422,False,True,False,0.259,0.083,0,1.0,,,1.0,0.041,,,,
Croplands_cluster_2_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.014,0.913,524.085,529.555,False,True,False,0.158,-1.033,0,1.0,,,,,1.0,1.0,0.779,0.616
Croplands_cluster_2_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.083,0.757,506.49,513.151,True,True,False,0.235,-0.267,0,1.0,1.0,0.207,,,1.0,1.0,0.767,0.571
Croplands_cluster_2_yearly_True_window_6_lags_5_sinusoidal_yes_linear,True,6,linear_lags_5_sinusoidal_yes,0.201,0.06,451.404,457.294,True,True,False,0.292,-0.003,0,1.0,,,1.0,0.044,1.0,1.0,0.727,0.614
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.003,0.679,1250.075,1254.543,False,True,False,0.275,-0.014,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.007,0.608,1233.716,1240.375,False,True,False,0.27,-0.01,0,1.0,1.0,0.57,,,,,,
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_no_linear,False,7,linear_lags_5_sinusoidal_no,0.001,0.817,1167.648,1174.125,False,True,False,0.275,-0.168,0,1.0,,,1.0,0.992,,,,
Croplands_cluster_2_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.057,0.53,1250.186,1259.123,False,True,False,0.335,-0.02,0,1.0,,,,,1.0,1.0,0.069,0.557
Croplands_cluster_2_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.065,0.48,1233.631,1244.728,False,True,False,0.325,-0.001,0,1.0,1.0,0.535,,,1.0,1.0,0.075,0.428
Croplands_cluster_2_yearly_False_window_7_lags_5_sinusoidal_yes_linear,False,7,linear_lags_5_sinusoidal_yes,0.058,0.72,1167.903,1178.698,False,True,False,0.335,-0.191,0,1.0,,,1.0,0.93,1.0,1.0,0.101,0.38
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.001,0.877,517.859,520.593,False,True,False,0.201,-0.086,0,1.0,,,,,,,,
