analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_4_lags_5_sinusoidal_no_quadratic,True,4,quadratic_lags_5_sinusoidal_no,0.707,0.0,538.894,544.999,True,False,False,0.528,0.639,0,2.015,2.034,0.008,,,,,,,,,1.019,0.068,,,,
Croplands_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.658,0.0,620.683,629.001,True,True,False,0.569,0.604,0,2.419,2.903,0.006,,,,,,,,,,,1.406,1.078,0.07,0.564
Croplands_yearly_True_window_4_lags_1_sinusoidal_yes_quadratic,True,4,quadratic_lags_1_sinusoidal_yes,0.76,0.0,597.452,607.277,True,False,False,1.133,0.7,0,2.619,3.132,0.001,1.002,0.041,,,,,,,,,1.426,1.086,0.04,0.383
Croplands_yearly_True_window_4_lags_2_sinusoidal_yes_quadratic,True,4,quadratic_lags_2_sinusoidal_yes,0.77,0.0,578.575,588.24,True,True,False,0.825,0.676,0,2.625,3.162,0.0,,,1.013,0.022,,,,,,,1.428,1.096,0.004,0.479
Croplands_yearly_True_window_4_lags_3_sinusoidal_yes_quadratic,True,4,quadratic_lags_3_sinusoidal_yes,0.721,0.0,572.575,582.077,True,False,False,0.576,0.548,0,2.749,3.362,0.009,,,,,1.001,0.232,,,,,1.425,1.187,0.073,0.517
Croplands_yearly_True_window_4_lags_4_sinusoidal_yes_quadratic,True,4,quadratic_lags_4_sinusoidal_yes,0.666,0.0,565.436,574.768,True,True,False,0.397,0.288,0,2.042,2.597,0.366,,,,,,,1.051,0.225,,,1.291,1.213,0.536,0.758
Croplands_yearly_True_window_4_lags_5_sinusoidal_yes_quadratic,True,4,quadratic_lags_5_sinusoidal_yes,0.727,0.0,540.54,549.698,True,True,False,0.599,0.637,0,2.54,3.085,0.007,,,,,,,,,1.028,0.099,1.383,1.134,0.185,0.952
Croplands_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.242,0.0,3143.767,3153.278,False,False,False,0.724,0.214,0,1.808,1.808,0.051,,,,,,,,,,,,,,
Croplands_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.244,0.0,3128.461,3141.12,False,False,False,0.733,0.213,0,1.817,1.817,0.047,1.0,0.49,,,,,,,,,,,,
Croplands_yearly_False_window_5_lags_2_sinusoidal_no_quadratic,False,5,quadratic_lags_2_sinusoidal_no,0.247,0.0,3113.165,3125.801,True,False,False,0.715,0.207,0,1.827,1.827,0.04,,,1.0,0.919,,,,,,,,,,
Croplands_yearly_False_window_5_lags_3_sinusoidal_no_quadratic,False,5,quadratic_lags_3_sinusoidal_no,0.09,0.003,3247.127,3259.741,False,False,False,1.062,0.073,0,1.848,1.851,0.108,,,,,1.003,0.488,,,,,,,,
Croplands_yearly_False_window_5_lags_4_sinusoidal_no_quadratic,False,5,quadratic_lags_4_sinusoidal_no,0.248,0.0,3076.926,3089.516,True,False,False,0.708,0.228,0,1.863,1.874,0.047,,,,,,,1.011,0.48,,,,,,
Croplands_yearly_False_window_5_lags_5_sinusoidal_no_quadratic,False,5,quadratic_lags_5_sinusoidal_no,0.086,0.001,3210.88,3223.446,False,False,False,1.031,0.003,0,1.859,1.873,0.13,,,,,,,,,1.014,0.705,,,,
Croplands_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.243,0.0,3147.571,3163.424,False,False,False,0.727,0.205,0,1.943,2.11,0.074,,,,,,,,,,,1.077,1.09,0.766,0.767
Croplands_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.245,0.0,3132.332,3151.321,True,False,False,0.735,0.198,0,1.951,2.116,0.067,1.0,0.502,,,,,,,,,1.077,1.087,0.79,0.831
Croplands_yearly_False_window_5_lags_2_sinusoidal_yes_quadratic,False,5,quadratic_lags_2_sinusoidal_yes,0.249,0.0,3116.858,3135.812,True,False,False,0.716,0.192,0,1.96,2.12,0.074,,,1.0,0.895,,,,,,,1.077,1.083,0.885,0.607
Croplands_yearly_False_window_5_lags_3_sinusoidal_yes_quadratic,False,5,quadratic_lags_3_sinusoidal_yes,0.098,0.002,3249.534,3268.454,False,False,False,1.075,0.028,0,1.972,2.122,0.121,,,,,1.004,0.555,,,,,1.07,1.076,0.3,0.532
Croplands_yearly_False_window_5_lags_4_sinusoidal_yes_quadratic,False,5,quadratic_lags_4_sinusoidal_yes,0.25,0.0,3080.525,3099.41,True,False,False,0.71,0.194,0,1.983,2.135,0.082,,,,,,,1.012,0.453,,,1.063,1.076,0.82,0.571
Croplands_yearly_False_window_5_lags_5_sinusoidal_yes_quadratic,False,5,quadratic_lags_5_sinusoidal_yes,0.099,0.0,3212.412,3231.262,False,False,False,1.049,-0.008,0,1.979,2.134,0.171,,,,,,,,,1.016,0.597,1.065,1.074,0.285,0.291
Croplands_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.624,0.0,616.01,621.0,True,False,False,0.447,0.585,0,1.976,1.976,0.023,,,,,,,,,,,,,,
Croplands_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.731,0.0,591.765,598.315,True,False,False,0.965,0.629,0,1.966,1.975,0.004,1.01,0.014,,,,,,,,,,,,
Croplands_yearly_True_window_5_lags_2_sinusoidal_no_quadratic,True,5,quadratic_lags_2_sinusoidal_no,0.756,0.0,572.912,579.355,True,False,False,0.775,0.702,0,1.943,1.982,0.003,,,1.039,0.001,,,,,,,,,,
Croplands_yearly_True_window_5_lags_3_sinusoidal_no_quadratic,True,5,quadratic_lags_3_sinusoidal_no,0.697,0.0,567.99,574.324,True,False,False,0.474,0.477,0,2.002,2.003,0.064,,,,,1.0,0.063,,,,,,,,
Croplands_yearly_True_window_5_lags_4_sinusoidal_no_quadratic,True,5,quadratic_lags_4_sinusoidal_no,0.666,0.0,556.201,562.422,True,False,False,0.386,0.426,0,1.905,1.906,0.166,,,,,,,1.001,0.094,,,,,,
Croplands_yearly_True_window_5_lags_5_sinusoidal_no_quadratic,True,5,quadratic_lags_5_sinusoidal_no,0.736,0.0,531.61,537.716,True,False,False,0.654,0.692,0,1.968,2.0,0.003,,,,,,,,,1.031,0.013,,,,
Croplands_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.66,0.0,616.071,624.389,True,True,False,0.552,0.612,0,2.235,2.5,0.005,,,,,,,,,,,1.17,1.095,0.087,0.355
Croplands_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.762,0.0,591.077,600.903,True,True,False,1.264,0.645,0,2.235,2.526,0.001,1.012,0.012,,,,,,,,,1.159,1.119,0.101,0.182
Croplands_yearly_True_window_5_lags_2_sinusoidal_yes_quadratic,True,5,quadratic_lags_2_sinusoidal_yes,0.81,0.0,567.798,577.463,True,True,False,1.091,0.649,0,2.268,2.664,0.0,,,1.052,0.0,,,,,,,1.187,1.157,0.012,0.112
Croplands_yearly_True_window_5_lags_3_sinusoidal_yes_quadratic,True,5,quadratic_lags_3_sinusoidal_yes,0.721,0.0,569.067,578.568,True,False,False,0.567,0.455,0,2.344,2.686,0.022,,,,,1.001,0.075,,,,,1.104,1.237,0.175,0.341
Croplands_yearly_True_window_5_lags_4_sinusoidal_yes_quadratic,True,5,quadratic_lags_4_sinusoidal_yes,0.686,0.0,558.024,567.356,True,False,False,0.445,0.403,0,2.269,2.671,0.089,,,,,,,1.001,0.123,,,1.174,1.227,0.184,0.736
Croplands_yearly_True_window_5_lags_5_sinusoidal_yes_quadratic,True,5,quadratic_lags_5_sinusoidal_yes,0.755,0.0,533.18,542.338,True,False,False,0.707,0.659,0,2.233,2.547,0.003,,,,,,,,,1.04,0.015,1.117,1.157,0.161,0.791
Croplands_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.27,0.0,3096.598,3106.11,True,False,False,0.701,0.254,0,1.718,1.718,0.099,,,,,,,,,,,,,,
Croplands_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.27,0.0,3082.072,3094.731,True,False,False,0.699,0.253,0,1.727,1.727,0.1,1.0,0.869,,,,,,,,,,,,
Croplands_yearly_False_window_6_lags_2_sinusoidal_no_quadratic,False,6,quadratic_lags_2_sinusoidal_no,0.279,0.0,3067.177,3079.813,True,False,False,0.686,0.239,0,1.738,1.74,0.077,,,1.001,0.495,,,,,,,,,,
Croplands_yearly_False_window_6_lags_3_sinusoidal_no_quadratic,False,6,quadratic_lags_3_sinusoidal_no,0.131,0.0,3150.831,3163.444,False,False,False,0.829,0.101,0,1.759,1.765,0.081,,,,,1.006,0.626,,,,,,,,
Croplands_yearly_False_window_6_lags_4_sinusoidal_no_quadratic,False,6,quadratic_lags_4_sinusoidal_no,0.274,0.0,3032.179,3044.769,True,False,False,0.704,0.239,0,1.771,1.782,0.095,,,,,,,1.011,0.962,,,,,,
Croplands_yearly_False_window_6_lags_5_sinusoidal_no_quadratic,False,6,quadratic_lags_5_sinusoidal_no,0.129,0.0,3117.036,3129.603,False,False,False,0.815,0.078,0,1.768,1.776,0.108,,,,,,,,,1.008,0.915,,,,
Croplands_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.271,0.0,3100.285,3116.138,True,False,False,0.704,0.25,0,1.87,2.082,0.171,,,,,,,,,,,1.104,1.107,0.889,0.604
Croplands_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.272,0.0,3085.704,3104.693,True,False,False,0.702,0.245,0,1.879,2.087,0.177,1.0,0.852,,,,,,,,,1.104,1.105,0.892,0.571
Croplands_yearly_False_window_6_lags_2_sinusoidal_yes_quadratic,False,6,quadratic_lags_2_sinusoidal_yes,0.282,0.0,3070.371,3089.325,True,False,False,0.687,0.229,0,1.886,2.088,0.193,,,1.002,0.475,,,,,,,1.101,1.099,0.892,0.38
Croplands_yearly_False_window_6_lags_3_sinusoidal_yes_quadratic,False,6,quadratic_lags_3_sinusoidal_yes,0.137,0.0,3153.47,3172.389,False,False,False,0.846,0.086,0,1.898,2.088,0.13,,,,,1.007,0.569,,,,,1.091,1.093,0.469,0.403
Croplands_yearly_False_window_6_lags_4_sinusoidal_yes_quadratic,False,6,quadratic_lags_4_sinusoidal_yes,0.276,0.0,3035.757,3054.642,True,False,False,0.706,0.197,0,1.908,2.098,0.179,,,,,,,1.013,0.925,,,1.082,1.095,0.945,0.531
Croplands_yearly_False_window_6_lags_5_sinusoidal_yes_quadratic,False,6,quadratic_lags_5_sinusoidal_yes,0.138,0.0,3119.342,3138.192,False,False,False,0.833,0.035,0,1.914,2.112,0.171,,,,,,,,,1.009,0.994,1.088,1.1,0.425,0.35
Croplands_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.607,0.0,612.487,617.478,True,False,False,0.261,0.562,0,1.922,1.922,0.031,,,,,,,,,,,,,,
Croplands_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.758,0.0,582.202,588.752,True,False,False,0.799,0.665,0,1.938,1.972,0.001,1.034,0.001,,,,,,,,,,,,
Croplands_yearly_True_window_6_lags_2_sinusoidal_no_quadratic,True,6,quadratic_lags_2_sinusoidal_no,0.798,0.0,561.085,567.528,True,False,False,0.671,0.737,0,1.928,2.008,0.0,,,1.08,0.0,,,,,,,,,,
Croplands_yearly_True_window_6_lags_3_sinusoidal_no_quadratic,True,6,quadratic_lags_3_sinusoidal_no,0.698,0.0,563.537,569.871,False,False,False,0.292,0.347,0,1.957,1.958,0.127,,,,,1.001,0.031,,,,,,,,
Croplands_yearly_True_window_6_lags_4_sinusoidal_no_quadratic,True,6,quadratic_lags_4_sinusoidal_no,0.664,0.0,552.107,558.328,False,False,False,0.227,0.305,0,1.868,1.886,0.406,,,,,,,1.018,0.046,,,,,,
Croplands_yearly_True_window_6_lags_5_sinusoidal_no_quadratic,True,6,quadratic_lags_5_sinusoidal_no,0.748,0.0,525.698,531.803,True,False,False,0.442,0.687,0,1.937,1.958,0.005,,,,,,,,,1.021,0.003,,,,
Croplands_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.631,0.0,614.014,622.332,True,True,False,0.313,0.58,0,2.046,2.18,0.012,,,,,,,,,,,1.134,1.0,0.146,0.915
Croplands_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.773,0.0,583.882,593.708,True,False,False,0.897,0.639,0,2.054,2.217,0.0,1.038,0.001,,,,,,,,,1.124,1.001,0.167,0.919
Croplands_yearly_True_window_6_lags_2_sinusoidal_yes_quadratic,True,6,quadratic_lags_2_sinusoidal_yes,0.821,0.0,560.486,570.152,True,False,False,0.781,0.669,0,2.058,2.288,0.0,,,1.091,0.0,,,,,,,1.137,1.003,0.053,0.823
Croplands_yearly_True_window_6_lags_3_sinusoidal_yes_quadratic,True,6,quadratic_lags_3_sinusoidal_yes,0.706,0.0,566.551,576.052,False,False,False,0.325,0.226,0,2.093,2.236,0.091,,,,,1.001,0.039,,,,,1.093,1.049,0.387,0.76
Croplands_yearly_True_window_6_lags_4_sinusoidal_yes_quadratic,True,6,quadratic_lags_4_sinusoidal_yes,0.673,0.0,555.125,564.457,True,False,False,0.26,0.232,0,2.06,2.303,0.294,,,,,,,1.021,0.066,,,1.174,1.047,0.38,0.927
Croplands_yearly_True_window_6_lags_5_sinusoidal_yes_quadratic,True,6,quadratic_lags_5_sinusoidal_yes,0.762,0.0,527.804,536.962,True,False,False,0.487,0.645,0,2.053,2.201,0.004,,,,,,,,,1.023,0.003,1.115,1.009,0.275,0.578
Croplands_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.31,0.0,3057.428,3066.94,True,False,False,0.581,0.291,0,1.697,1.697,0.116,,,,,,,,,,,,,,
Croplands_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.311,0.0,3042.744,3055.403,True,False,False,0.581,0.264,0,1.706,1.707,0.107,1.001,0.893,,,,,,,,,,,,
Croplands_yearly_False_window_7_lags_2_sinusoidal_no_quadratic,False,7,quadratic_lags_2_sinusoidal_no,0.32,0.0,3025.936,3038.572,True,False,False,0.565,0.297,0,1.719,1.722,0.095,,,1.003,0.485,,,,,,,,,,
Croplands_yearly_False_window_7_lags_3_sinusoidal_no_quadratic,False,7,quadratic_lags_3_sinusoidal_no,0.079,0.001,3163.779,3176.393,False,False,False,1.003,0.012,0,1.727,1.731,0.113,,,,,1.003,0.512,,,,,,,,
Croplands_yearly_False_window_7_lags_4_sinusoidal_no_quadratic,False,7,quadratic_lags_4_sinusoidal_no,0.313,0.0,2992.73,3005.32,True,False,False,0.572,0.277,0,1.733,1.737,0.102,,,,,,,1.004,0.819,,,,,,
Croplands_yearly_False_window_7_lags_5_sinusoidal_no_quadratic,False,7,quadratic_lags_5_sinusoidal_no,0.077,0.003,3127.466,3140.032,False,False,False,0.969,0.045,0,1.75,1.755,0.125,,,,,,,,,1.006,0.935,,,,
