analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.235,0.267,120.863,122.455,True,True,False,0.94,-8.299,0,1.0,,,,,1.0,1.0,0.572,0.589
CPER-Cluster_0_yearly_False_window_4_lags_2_sinusoidal_yes_linear,False,4,linear_lags_2_sinusoidal_yes,0.747,0.044,90.68,91.666,True,True,False,2.875,0.026,0,1.0,1.0,0.103,,,1.0,1.0,0.785,0.06
CPER-Cluster_0_yearly_False_window_4_lags_3_sinusoidal_yes_linear,False,4,linear_lags_3_sinusoidal_yes,0.392,0.521,84.9,85.297,True,True,True,2.472,-5.135,0,1.0,,,1.0,0.4,1.0,1.0,0.615,0.866
CPER-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.161,0.221,117.874,118.67,True,True,False,0.942,-0.719,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_True_window_4_lags_2_sinusoidal_no_linear,True,4,linear_lags_2_sinusoidal_no,0.296,0.17,95.876,96.468,True,True,True,2.25,-0.418,0,1.0,1.0,0.353,,,,,,
CPER-Cluster_0_yearly_True_window_4_lags_3_sinusoidal_no_linear,True,4,linear_lags_3_sinusoidal_no,0.325,0.488,81.733,81.972,True,True,True,2.297,-0.799,0,1.0,,,1.0,0.323,,,,
CPER-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.235,0.267,120.863,122.455,True,True,False,0.94,-8.299,0,1.0,,,,,1.0,1.0,0.572,0.589
CPER-Cluster_0_yearly_True_window_4_lags_2_sinusoidal_yes_linear,True,4,linear_lags_2_sinusoidal_yes,0.747,0.044,90.68,91.666,True,True,False,2.875,0.026,0,1.0,1.0,0.103,,,1.0,1.0,0.785,0.06
CPER-Cluster_0_yearly_True_window_4_lags_3_sinusoidal_yes_linear,True,4,linear_lags_3_sinusoidal_yes,0.392,0.521,84.9,85.297,True,True,True,2.472,-5.135,0,1.0,,,1.0,0.4,1.0,1.0,0.615,0.866
CPER-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.012,0.753,121.198,121.994,False,True,False,1.111,-1.376,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.225,0.868,122.523,124.115,True,True,False,1.315,-3.472,0,1.0,,,,,1.0,1.0,0.313,0.451
CPER-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.012,0.753,121.198,121.994,False,True,False,1.111,-1.376,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.225,0.868,122.523,124.115,True,True,False,1.315,-3.472,0,1.0,,,,,1.0,1.0,0.313,0.451
