analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_no_quadratic,True,3,quadratic_lags_1_sinusoidal_no,0.062,0.897,381.932,386.11,False,True,False,0.541,-1.066,0,1.968,1.968,0.522,1.0,0.604,,,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_no_quadratic,True,3,quadratic_lags_2_sinusoidal_no,0.068,0.854,365.61,369.593,True,True,False,0.579,-0.333,0,1.938,1.939,0.681,,,1.001,0.644,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_no_quadratic,True,3,quadratic_lags_6_sinusoidal_no,0.22,0.183,294.105,297.195,True,True,False,0.532,-0.729,0,2.121,2.229,0.485,,,,,1.108,0.568,,,,
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.314,0.947,393.624,399.08,True,True,False,0.849,-0.585,0,2.055,2.141,0.871,,,,,,,1.052,1.034,0.029,0.286
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_yes_quadratic,True,3,quadratic_lags_1_sinusoidal_yes,0.356,0.763,378.038,384.305,True,True,False,0.859,-1.492,0,2.06,2.155,0.873,1.0,0.414,,,,,1.056,1.039,0.038,0.189
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_yes_quadratic,True,3,quadratic_lags_2_sinusoidal_yes,0.395,0.433,360.972,366.946,True,True,False,1.062,-1.164,0,2.005,2.077,0.987,,,1.001,0.209,,,1.042,1.029,0.032,0.127
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_yes_quadratic,True,3,quadratic_lags_6_sinusoidal_yes,0.826,0.087,274.066,278.702,True,True,False,1.071,0.431,0,2.232,2.451,0.798,,,,,1.119,0.281,1.099,1.0,0.0,0.854
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.021,0.595,1015.045,1021.012,True,True,False,0.521,-0.172,0,1.413,1.413,0.309,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_no_quadratic,False,4,quadratic_lags_1_sinusoidal_no,0.025,0.493,999.675,1007.556,True,True,False,0.518,-0.207,0,1.47,1.571,0.352,1.1,0.649,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_no_quadratic,False,4,quadratic_lags_2_sinusoidal_no,0.019,0.672,982.472,990.277,True,True,False,0.496,-0.103,0,1.551,1.802,0.433,,,1.251,0.764,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_no_quadratic,False,4,quadratic_lags_6_sinusoidal_no,0.113,0.897,916.769,924.254,False,True,False,0.581,-0.008,0,1.507,1.569,0.059,,,,,1.062,0.673,,,,
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.194,0.114,1008.514,1018.459,True,True,False,0.703,0.049,0,1.46,1.574,0.031,,,,,,,1.07,1.044,0.002,0.672
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_yes_quadratic,False,4,quadratic_lags_1_sinusoidal_yes,0.192,0.104,993.706,1005.528,True,True,False,0.695,0.033,0,1.529,1.766,0.041,1.113,0.695,,,,,1.084,1.04,0.003,0.824
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_yes_quadratic,False,4,quadratic_lags_2_sinusoidal_yes,0.202,0.149,975.737,987.445,True,False,False,0.684,-0.008,0,1.636,2.078,0.052,,,1.29,0.787,,,1.1,1.053,0.002,0.676
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_yes_quadratic,False,4,quadratic_lags_6_sinusoidal_yes,0.221,0.741,914.544,925.771,True,True,False,0.745,0.003,0,1.608,1.882,0.01,,,,,1.074,0.661,1.179,1.021,0.022,0.769
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.141,0.376,390.157,393.43,True,True,False,0.593,-0.454,0,1.772,1.772,0.232,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_no_quadratic,True,4,quadratic_lags_1_sinusoidal_no,0.219,0.557,374.194,378.372,True,True,False,0.563,-0.477,0,1.782,1.834,0.393,1.053,0.189,,,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_no_quadratic,True,4,quadratic_lags_2_sinusoidal_no,0.261,0.696,357.653,361.636,True,True,False,0.49,-0.558,0,1.726,1.8,0.794,,,1.074,0.12,,,,,,
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_no_quadratic,True,4,quadratic_lags_6_sinusoidal_no,0.403,0.025,288.864,291.954,True,True,False,0.612,-0.244,0,1.618,1.627,0.365,,,,,1.009,0.66,,,,
Croplands_cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.332,0.783,388.643,394.098,True,True,False,0.786,-0.594,0,1.952,2.186,0.504,,,,,,,1.226,1.008,0.095,0.247
Croplands_cluster_1_yearly_True_window_4_lags_1_sinusoidal_yes_quadratic,True,4,quadratic_lags_1_sinusoidal_yes,0.497,0.813,368.961,375.228,True,True,False,0.845,-0.705,0,2.003,2.354,0.864,1.068,0.06,,,,,1.282,1.001,0.06,0.075
Croplands_cluster_1_yearly_True_window_4_lags_2_sinusoidal_yes_quadratic,True,4,quadratic_lags_2_sinusoidal_yes,0.621,0.213,348.269,354.243,True,True,False,1.029,-0.557,0,1.882,2.185,0.784,,,1.09,0.006,,,1.194,1.02,0.017,0.024
Croplands_cluster_1_yearly_True_window_4_lags_6_sinusoidal_yes_quadratic,True,4,quadratic_lags_6_sinusoidal_yes,0.922,0.012,260.266,264.901,True,True,True,1.992,0.6,0,1.86,2.265,0.544,,,,,1.012,0.959,1.21,1.182,0.0,0.63
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.016,0.568,1002.861,1008.828,True,True,False,0.499,-0.101,0,1.65,1.65,0.37,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.014,0.585,987.076,994.957,True,True,False,0.505,-0.244,0,1.727,1.798,0.423,1.072,0.958,,,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_no_quadratic,False,5,quadratic_lags_2_sinusoidal_no,0.014,0.966,971.447,979.252,True,True,False,0.48,-0.07,0,1.783,1.879,0.537,,,1.096,0.579,,,,,,
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_no_quadratic,False,5,quadratic_lags_6_sinusoidal_no,0.029,0.659,921.517,929.002,False,True,False,0.661,-0.14,0,1.831,1.885,0.524,,,,,1.054,0.665,,,,
Croplands_cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.24,0.057,992.889,1002.834,True,True,False,0.769,0.078,0,1.777,1.973,0.013,,,,,,,1.149,1.047,0.001,0.57
Croplands_cluster_1_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.238,0.064,977.412,989.234,True,True,False,0.771,-0.037,0,1.894,2.213,0.016,1.088,0.986,,,,,1.175,1.056,0.001,0.676
Croplands_cluster_1_yearly_False_window_5_lags_2_sinusoidal_yes_quadratic,False,5,quadratic_lags_2_sinusoidal_yes,0.247,0.144,961.438,973.146,True,False,False,0.758,-0.009,0,1.967,2.32,0.02,,,1.118,0.57,,,1.186,1.049,0.001,0.628
Croplands_cluster_1_yearly_False_window_5_lags_6_sinusoidal_yes_quadratic,False,5,quadratic_lags_6_sinusoidal_yes,0.22,0.926,915.012,926.239,False,False,False,1.051,-0.095,0,2.149,2.607,0.036,,,,,1.075,0.651,1.36,1.023,0.003,0.954
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.199,0.267,384.118,387.391,True,True,False,0.736,-0.443,0,1.925,1.925,0.095,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.31,0.215,366.451,370.629,True,True,False,0.789,0.071,0,1.764,1.766,0.111,1.002,0.154,,,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_no_quadratic,True,5,quadratic_lags_2_sinusoidal_no,0.357,0.274,348.805,352.788,True,True,False,0.773,-0.58,0,1.735,1.749,0.3,,,1.014,0.101,,,,,,
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_no_quadratic,True,5,quadratic_lags_6_sinusoidal_no,0.471,0.009,283.289,286.379,True,True,False,0.766,-0.839,0,1.839,1.885,0.392,,,,,1.047,0.659,,,,
