analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.021,0.899,523.261,530.098,False,True,False,0.192,-1.017,0,1.627,1.684,0.581,,,,,1.02,1.036,0.856,0.735
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.082,0.603,506.014,514.007,True,True,False,0.386,-0.805,0,1.729,1.818,0.448,1.041,0.199,,,1.02,1.028,0.904,0.855
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_yes_quadratic,True,7,quadratic_lags_5_sinusoidal_yes,0.178,0.08,451.72,458.788,True,True,False,0.423,-0.181,0,1.658,1.733,0.448,,,1.032,0.076,1.032,1.011,0.767,0.621
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.019,0.617,1248.58,1255.283,False,True,False,0.28,0.017,0,1.726,1.726,0.324,,,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.018,0.59,1232.706,1241.584,False,True,False,0.278,-0.092,0,1.748,1.755,0.366,1.007,0.77,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_no_quadratic,False,8,quadratic_lags_5_sinusoidal_no,0.01,0.7,1167.218,1175.854,False,True,False,0.26,-0.122,0,1.86,1.863,0.497,,,1.003,0.846,,,,
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.092,0.443,1247.227,1258.398,True,True,False,0.41,0.037,0,1.798,1.898,0.109,,,,,1.1,1.0,0.031,0.595
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.092,0.439,1231.363,1244.68,True,True,False,0.403,-0.106,0,1.818,1.921,0.137,1.008,0.686,,,1.094,1.0,0.036,0.485
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_yes_quadratic,False,8,quadratic_lags_5_sinusoidal_yes,0.086,0.651,1166.095,1179.048,True,True,False,0.394,-0.089,0,1.987,2.139,0.179,,,1.004,0.797,1.146,1.002,0.043,0.476
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.049,0.684,517.344,521.446,False,True,False,0.159,-0.02,0,1.687,1.687,0.266,,,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.157,0.331,498.497,503.826,True,True,False,0.466,-0.445,0,1.812,1.849,0.161,1.037,0.061,,,,,,
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_no_quadratic,True,8,quadratic_lags_5_sinusoidal_no,0.355,0.006,440.247,444.959,True,True,False,0.532,0.093,0,1.993,2.024,0.012,,,1.031,0.007,,,,
Croplands_cluster_2_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.05,0.687,521.312,528.148,False,True,False,0.157,-0.842,0,1.78,1.914,0.322,,,,,1.002,1.133,0.921,0.896
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.163,0.345,502.31,510.303,True,True,False,0.486,-1.028,0,1.936,2.132,0.167,1.043,0.069,,,1.001,1.152,0.935,0.711
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_yes_quadratic,True,8,quadratic_lags_5_sinusoidal_yes,0.357,0.009,444.178,451.246,True,False,False,0.527,0.037,0,2.059,2.16,0.021,,,1.033,0.011,1.002,1.065,0.995,0.823
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.033,0.59,1245.107,1251.809,False,False,False,0.201,-0.021,0,1.857,1.857,0.162,,,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.035,0.533,1229.916,1238.794,False,False,False,0.193,-0.216,0,1.877,1.88,0.185,1.003,0.642,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_no_quadratic,False,9,quadratic_lags_5_sinusoidal_no,0.015,0.743,1162.335,1170.971,False,False,False,0.186,-0.073,0,2.022,2.022,0.358,,,1.0,0.825,,,,
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.134,0.333,1241.522,1252.692,True,False,False,0.279,0.033,0,1.975,2.113,0.029,,,,,1.118,1.02,0.009,0.885
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.132,0.325,1226.691,1240.008,True,False,False,0.272,-0.199,0,2.015,2.175,0.038,1.003,0.605,,,1.127,1.03,0.011,0.839
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_yes_quadratic,False,9,quadratic_lags_5_sinusoidal_yes,0.115,0.579,1159.479,1172.433,True,False,False,0.243,0.006,0,2.278,2.528,0.072,,,1.0,0.734,1.2,1.05,0.014,0.885
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.083,0.702,516.267,520.369,False,True,False,0.312,0.033,0,1.648,1.648,0.155,,,,,,,,
