analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_True_window_7_lags_5_sinusoidal_no_spline,True,7,spline_lags_5_sinusoidal_no,0.821,0.0,515.828,524.986,True,True,False,0.657,0.673,0,1.0,1.015,1.034,1.001,0.003,0.158,0.797,"[np.float64(649.1318273809524), np.float64(718.379378), np.float64(772.501266), np.float64(819.987474), np.float64(911.3635737578912)]",,,,,,,,,1.049,0.0,,,,
Croplands_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.656,0.0,612.835,624.48,False,True,False,0.393,0.584,0,1.0,1.087,1.14,1.072,0.015,0.199,0.663,"[np.float64(649.1318273809524), np.float64(727.934527), np.float64(772.888923), np.float64(818.913198), np.float64(911.3635737578912)]",,,,,,,,,,,1.166,1.133,0.173,0.431
Croplands_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.804,0.0,578.368,591.469,True,False,False,1.21,0.432,0,1.0,1.093,1.113,1.091,0.0,0.096,0.05,"[np.float64(649.1318273809524), np.float64(726.243375), np.float64(772.531086), np.float64(815.529642), np.float64(911.3635737578912)]",1.06,0.0,,,,,,,,,1.167,1.07,0.123,0.587
Croplands_yearly_True_window_7_lags_2_sinusoidal_yes_spline,True,7,spline_lags_2_sinusoidal_yes,0.855,0.0,554.149,567.036,True,True,False,0.853,0.697,0,1.0,1.064,1.152,1.034,0.0,0.064,0.449,"[np.float64(649.1318273809524), np.float64(731.925325), np.float64(772.769644), np.float64(816.764645), np.float64(911.3635737578912)]",,,1.038,0.0,,,,,,,1.103,1.109,0.174,0.617
Croplands_yearly_True_window_7_lags_3_sinusoidal_yes_spline,True,7,spline_lags_3_sinusoidal_yes,0.831,0.0,546.716,559.384,True,True,False,0.947,0.658,0,1.0,1.143,1.113,1.055,0.001,0.005,0.293,"[np.float64(636.3920836833333), np.float64(726.575322), np.float64(773.008201), np.float64(817.838922), np.float64(911.3635737578912)]",,,,,1.024,0.0,,,,,1.201,1.086,0.062,0.263
Croplands_yearly_True_window_7_lags_4_sinusoidal_yes_spline,True,7,spline_lags_4_sinusoidal_yes,0.801,0.0,537.859,550.302,True,False,False,0.636,0.605,0,1.0,1.198,1.056,1.044,0.003,0.027,0.825,"[np.float64(649.1318273809524), np.float64(723.889015), np.float64(779.323679), np.float64(818.913198), np.float64(911.3635737578912)]",,,,,,,1.01,0.0,,,1.201,1.088,0.063,0.427
Croplands_yearly_True_window_7_lags_5_sinusoidal_yes_spline,True,7,spline_lags_5_sinusoidal_yes,0.835,0.001,517.176,529.387,True,False,False,0.729,0.052,0,1.0,1.129,1.213,1.065,0.002,0.068,0.9,"[np.float64(649.1318273809524), np.float64(718.379378), np.float64(772.501266), np.float64(819.987474), np.float64(911.3635737578912)]",,,,,,,,,1.063,0.0,1.209,1.135,0.188,0.507
Croplands_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.335,0.0,3036.829,3052.681,False,False,False,0.586,0.308,0,1.0,1.0,1.0,1.0,0.047,0.568,0.942,"[np.float64(524.5862999999999), np.float64(713.698137), np.float64(794.181), np.float64(846.571686), np.float64(1016.559698775)]",,,,,,,,,,,,,,
Croplands_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.338,0.0,3021.732,3040.721,False,False,False,0.582,0.306,0,1.0,1.0,1.008,1.0,0.045,0.53,0.489,"[np.float64(524.5862999999999), np.float64(712.815454), np.float64(794.312126), np.float64(849.496002), np.float64(1016.559698775)]",1.008,0.99,,,,,,,,,,,,
Croplands_yearly_False_window_8_lags_2_sinusoidal_no_spline,False,8,spline_lags_2_sinusoidal_no,0.35,0.0,3004.701,3023.655,False,True,False,0.583,0.308,0,1.0,1.0,1.012,1.001,0.03,0.612,0.295,"[np.float64(524.5862999999999), np.float64(712.188802), np.float64(794.181), np.float64(850.345323), np.float64(1016.559698775)]",,,1.013,0.7,,,,,,,,,,
