analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_yes_piecewise,False,2,piecewise_lags_3_sinusoidal_yes,0.856,0.019,114.832,117.219,True,True,False,2.665,-5.91,0,4.334,6.327,0.016,297.72391919191915,,,2.908,0.03,,,,,,,1.003,1.082,0.945,0.511
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_yes_piecewise,False,2,piecewise_lags_4_sinusoidal_yes,0.839,0.042,111.973,113.789,True,True,True,2.384,-25.231,0,8.991,12.201,0.032,286.80886516353536,,,,,3.324,0.256,,,,,1.066,1.82,0.298,0.919
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_piecewise,False,2,piecewise_lags_5_sinusoidal_yes,0.836,0.325,93.856,95.039,True,True,True,2.119,-0.261,0,10.851,19.046,0.866,308.3264172381818,,,,,,,5.947,0.33,,,2.694,2.554,0.136,0.243
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_yes_piecewise,False,2,piecewise_lags_6_sinusoidal_yes,0.999,0.01,47.029,47.506,True,True,False,3.007,0.964,0,8.693,17.234,0.002,319.23680366474747,,,,,,,,,7.145,0.004,3.238,1.158,0.007,0.015
CPER-Cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.627,0.054,150.507,152.424,True,True,True,1.518,-0.042,0,2.719,2.719,0.009,293.95055353535355,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_2_sinusoidal_no_piecewise,True,2,piecewise_lags_2_sinusoidal_no,0.655,0.679,129.507,131.446,True,True,True,1.787,0.185,0,5.869,7.488,0.097,293.4643747474747,2.619,0.286,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_3_sinusoidal_no_piecewise,True,2,piecewise_lags_3_sinusoidal_no,0.841,0.004,111.909,113.5,True,True,False,2.589,0.523,0,4.073,5.832,0.002,297.72391919191915,,,2.759,0.011,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_4_sinusoidal_no_piecewise,True,2,piecewise_lags_4_sinusoidal_no,0.781,0.024,111.047,112.258,True,True,True,1.56,-1.68,0,5.238,6.47,0.014,286.80886516353536,,,,,2.232,0.2,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_5_sinusoidal_no_piecewise,True,2,piecewise_lags_5_sinusoidal_no,0.605,0.426,97.789,98.578,True,True,False,1.447,0.035,0,3.319,4.484,0.08,308.3264172381818,,,,,,,2.165,0.529,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_6_sinusoidal_no_piecewise,True,2,piecewise_lags_6_sinusoidal_no,0.863,0.503,79.559,79.877,True,True,False,1.459,0.519,0,3.265,5.075,0.018,319.23680366474747,,,,,,,,,2.809,0.036,,,,
CPER-Cluster_2_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.681,0.055,152.348,155.544,True,True,True,1.511,-0.066,0,3.667,4.219,0.012,293.95055353535355,,,,,,,,,,,1.19,1.362,0.255,0.631
CPER-Cluster_2_yearly_True_window_2_lags_2_sinusoidal_yes_piecewise,True,2,piecewise_lags_2_sinusoidal_yes,0.729,0.906,130.601,133.511,True,True,True,2.27,-4.112,0,8.957,12.238,0.241,293.4643747474747,3.647,0.459,,,,,,,,,1.467,1.168,0.993,0.25
CPER-Cluster_2_yearly_True_window_2_lags_3_sinusoidal_yes_piecewise,True,2,piecewise_lags_3_sinusoidal_yes,0.856,0.019,114.832,117.219,True,True,False,2.665,-5.91,0,4.334,6.327,0.016,297.72391919191915,,,2.908,0.03,,,,,,,1.003,1.082,0.945,0.511
CPER-Cluster_2_yearly_True_window_2_lags_4_sinusoidal_yes_piecewise,True,2,piecewise_lags_4_sinusoidal_yes,0.839,0.042,111.973,113.789,True,True,True,2.384,-25.231,0,8.991,12.201,0.032,286.80886516353536,,,,,3.324,0.256,,,,,1.066,1.82,0.298,0.919
CPER-Cluster_2_yearly_True_window_2_lags_5_sinusoidal_yes_piecewise,True,2,piecewise_lags_5_sinusoidal_yes,0.836,0.325,93.856,95.039,True,True,True,2.119,-0.261,0,10.851,19.046,0.866,308.3264172381818,,,,,,,5.947,0.33,,,2.694,2.554,0.136,0.243
CPER-Cluster_2_yearly_True_window_2_lags_6_sinusoidal_yes_piecewise,True,2,piecewise_lags_6_sinusoidal_yes,0.999,0.01,47.029,47.506,True,True,False,3.007,0.964,0,8.693,17.234,0.002,319.23680366474747,,,,,,,,,7.145,0.004,3.238,1.158,0.007,0.015
CPER-Cluster_2_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.477,0.59,145.249,147.166,True,True,True,1.829,-0.536,0,2.998,2.998,0.267,294.1409178583165,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_2_sinusoidal_no_piecewise,False,3,piecewise_lags_2_sinusoidal_no,0.688,0.506,122.402,124.342,True,True,False,1.274,-1.601,0,5.777,7.587,0.615,293.8668559092256,2.81,0.068,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_3_sinusoidal_no_piecewise,False,3,piecewise_lags_3_sinusoidal_no,0.553,0.705,119.038,120.629,True,True,False,1.262,-1.014,0,7.577,10.885,0.477,292.26636705050504,,,4.308,0.662,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_4_sinusoidal_no_piecewise,False,3,piecewise_lags_4_sinusoidal_no,0.596,0.363,109.498,110.708,True,True,False,1.297,-2.17,0,4.94,6.538,0.277,297.82191925791244,,,,,2.597,0.228,,,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_5_sinusoidal_no_piecewise,False,3,piecewise_lags_5_sinusoidal_no,0.587,0.138,91.503,92.292,True,True,False,1.234,-0.271,0,2.251,3.057,0.383,316.7157962,,,,,,,1.806,0.288,,,,,,
CPER-Cluster_2_yearly_False_window_3_lags_6_sinusoidal_no_piecewise,False,3,piecewise_lags_6_sinusoidal_no,0.74,0.227,82.602,82.92,True,True,True,2.081,0.339,0,2.61,5.726,0.344,326.1551624627273,,,,,,,,,4.115,0.301,,,,
CPER-Cluster_2_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.622,0.168,144.706,147.901,True,True,True,1.941,-1.569,0,4.713,5.571,0.091,294.1409178583165,,,,,,,,,,,1.008,1.851,0.481,0.125
CPER-Cluster_2_yearly_False_window_3_lags_2_sinusoidal_yes_piecewise,False,3,piecewise_lags_2_sinusoidal_yes,0.936,0.946,107.415,110.325,True,True,False,2.661,0.436,0,7.046,9.602,0.149,293.8668559092256,3.29,0.144,,,,,,,,,1.188,1.078,0.757,0.005
CPER-Cluster_2_yearly_False_window_3_lags_3_sinusoidal_yes_piecewise,False,3,piecewise_lags_3_sinusoidal_yes,0.62,0.575,121.249,123.637,True,True,False,1.178,-12.948,0,7.653,11.011,0.405,292.26636705050504,,,4.346,0.643,,,,,,,1.009,1.002,0.881,0.404
