analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_piecewise,True,6,piecewise_lags_1_sinusoidal_no,0.325,0.088,359.408,363.586,True,True,False,1.022,-0.025,0,1.677,1.69,0.035,1029.898171043771,1.013,0.098,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_no_piecewise,True,6,piecewise_lags_2_sinusoidal_no,0.315,0.275,344.132,348.114,True,True,False,1.063,-1.306,0,2.337,2.404,0.162,1022.8192188118181,,,1.066,0.068,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_no_piecewise,True,6,piecewise_lags_6_sinusoidal_no,0.457,0.01,282.379,285.469,True,True,False,0.58,-350.231,0,1.102,1.234,0.399,1058.8268302338383,,,,,1.132,0.78,,,,
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.399,0.646,374.727,380.182,True,True,False,0.707,-0.598,0,2.432,3.265,0.767,1026.100466935101,,,,,,,1.212,1.621,0.044,0.226
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_piecewise,True,6,piecewise_lags_1_sinusoidal_yes,0.62,0.579,351.338,357.606,True,True,False,1.249,-0.084,0,2.323,3.301,0.985,1029.898171043771,1.025,0.041,,,,,1.241,1.712,0.018,0.014
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_yes_piecewise,True,6,piecewise_lags_2_sinusoidal_yes,0.797,0.783,323.864,329.838,True,True,True,1.613,0.134,0,3.819,5.067,0.458,1022.8192188118181,,,1.14,0.001,,,1.265,1.843,0.0,0.0
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_yes_piecewise,True,6,piecewise_lags_6_sinusoidal_yes,0.966,0.012,241.911,246.546,True,True,True,2.49,0.683,0,1.119,1.44,0.058,1058.8268302338383,,,,,1.154,0.404,1.001,1.166,0.0,0.205
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.087,0.184,975.763,981.73,True,True,False,0.485,-0.11,0,1.14,1.14,0.033,1104.5638397606062,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_no_piecewise,False,7,piecewise_lags_1_sinusoidal_no,0.096,0.173,958.73,966.612,True,True,False,0.566,-0.084,0,1.152,1.202,0.033,1103.3328497858588,1.05,0.61,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_no_piecewise,False,7,piecewise_lags_2_sinusoidal_no,0.126,0.087,942.205,950.01,True,True,False,0.521,-0.168,0,1.153,1.188,0.026,1103.4143547555555,,,1.035,0.172,,,,,,
