analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.046,0.16,1037.219,1047.164,True,True,False,0.744,-0.739,0,1.0,1.0,1.0,1.0,0.279,0.241,0.846,"[np.float64(948.944), np.float64(1001.90192), np.float64(1050.2), np.float64(1103.72), np.float64(1278.771984)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_no_spline,False,3,spline_lags_1_sinusoidal_no,0.056,0.26,1021.115,1032.937,True,True,False,0.725,-1.63,0,1.0,1.044,1.038,1.014,0.273,0.239,0.833,"[np.float64(948.944), np.float64(999.3376), np.float64(1052.0), np.float64(1105.58), np.float64(1278.771984)]",1.095,0.525,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_no_spline,False,3,spline_lags_2_sinusoidal_no,0.061,0.344,1002.402,1014.11,True,True,False,0.717,-0.489,0,1.0,1.057,1.143,1.001,0.33,0.219,0.831,"[np.float64(948.944), np.float64(999.3376), np.float64(1037.87), np.float64(1107.44), np.float64(1278.771984)]",,,1.201,0.402,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_no_spline,False,3,spline_lags_6_sinusoidal_no,0.095,0.107,940.94,952.167,False,True,False,0.922,-12.669,0,1.0,1.591,1.36,1.001,0.416,0.924,0.776,"[np.float64(948.944), np.float64(1013.76), np.float64(1060.4745), np.float64(1109.3), np.float64(1278.771984)]",,,,,1.952,0.137,,,,
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.161,0.087,1034.304,1048.227,True,True,False,0.878,-3.113,0,1.0,1.132,1.025,1.004,0.062,0.172,0.809,"[np.float64(948.944), np.float64(1001.90192), np.float64(1050.2), np.float64(1103.72), np.float64(1278.771984)]",,,,,,,1.133,1.028,0.018,0.56
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_yes_spline,False,3,spline_lags_1_sinusoidal_yes,0.193,0.194,1016.8,1032.562,True,True,False,0.852,-6.94,0,1.0,1.214,1.062,1.029,0.049,0.166,0.657,"[np.float64(948.944), np.float64(999.3376), np.float64(1052.0), np.float64(1105.58), np.float64(1278.771984)]",1.102,0.407,,,,,1.159,1.044,0.01,0.483
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_yes_spline,False,3,spline_lags_2_sinusoidal_yes,0.206,0.287,997.716,1013.326,True,True,False,0.843,-1.915,0,1.0,1.235,1.177,1.04,0.066,0.114,0.773,"[np.float64(948.944), np.float64(999.3376), np.float64(1037.87), np.float64(1107.44), np.float64(1278.771984)]",,,1.221,0.249,,,1.199,1.033,0.01,0.389
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_yes_spline,False,3,spline_lags_6_sinusoidal_yes,0.129,0.08,943.056,958.025,False,True,False,0.981,-12.483,0,1.0,1.762,1.398,1.101,0.254,0.846,0.918,"[np.float64(948.944), np.float64(1013.76), np.float64(1060.4745), np.float64(1109.3), np.float64(1278.771984)]",,,,,1.976,0.142,1.252,1.033,0.242,0.666
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.082,0.302,400.029,405.484,True,True,False,0.698,-1.009,0,1.0,1.0,1.0,1.0,0.65,0.396,0.733,"[np.float64(979.9223333333333), np.float64(1010.47892), np.float64(1021.219783), np.float64(1043.182298), np.float64(1098.72)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_no_spline,True,3,spline_lags_1_sinusoidal_no,0.239,0.392,381.537,387.804,True,True,False,0.986,-6.52,0,1.0,1.138,1.0,1.012,0.54,0.459,0.101,"[np.float64(979.9223333333333), np.float64(1018.010568), np.float64(1027.294567), np.float64(1057.512085), np.float64(1098.72)]",1.149,0.852,,,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_no_spline,True,3,spline_lags_2_sinusoidal_no,0.077,0.72,369.435,375.41,True,True,False,0.634,-17.106,0,1.0,1.058,1.033,1.0,0.679,0.779,0.871,"[np.float64(979.9223333333333), np.float64(1018.853892), np.float64(1034.737701), np.float64(1058.89529), np.float64(1098.72)]",,,1.091,0.695,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_no_spline,True,3,spline_lags_6_sinusoidal_no,0.23,0.354,297.89,302.526,False,True,False,0.537,-151.092,0,1.0,1.031,1.003,1.003,0.56,0.691,0.768,"[np.float64(979.9223333333333), np.float64(1022.148775), np.float64(1045.2261), np.float64(1060.389375), np.float64(1098.72)]",,,,,1.037,0.616,,,,
