analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.422,0.056,944.869,958.792,True,True,False,0.785,-0.03,0,1.0,1.508,1.574,1.018,0.743,0.008,0.328,"[np.float64(975.589), np.float64(1008.495156), np.float64(1044.244), np.float64(1057.648), np.float64(1145.02184)]",,,,,,,1.777,1.323,0.012,0.696
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_spline,False,9,spline_lags_1_sinusoidal_yes,0.413,0.092,929.095,944.857,False,True,False,0.96,0.027,0,1.0,1.594,1.869,1.077,0.903,0.012,0.315,"[np.float64(975.589), np.float64(1013.442602), np.float64(1046.336), np.float64(1058.61), np.float64(1145.02184)]",1.131,0.157,,,,,1.996,1.413,0.026,0.909
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_yes_spline,False,9,spline_lags_2_sinusoidal_yes,0.459,0.162,909.14,924.75,True,True,False,0.902,-0.086,0,1.0,1.611,1.57,1.038,0.758,0.008,0.935,"[np.float64(975.589), np.float64(1013.76), np.float64(1049.168), np.float64(1058.61), np.float64(1145.02184)]",,,1.045,0.074,,,1.889,1.284,0.008,0.991
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_yes_spline,False,9,spline_lags_6_sinusoidal_yes,0.322,0.442,887.234,902.204,True,True,False,0.926,-0.335,0,1.0,1.864,1.593,1.038,0.778,0.133,0.93,"[np.float64(975.589), np.float64(1011.808), np.float64(1052.0), np.float64(1064.24696), np.float64(1145.02184)]",,,,,1.439,0.047,1.82,1.236,0.044,0.611
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.258,0.731,355.105,360.561,True,False,False,0.699,-2.37,0,1.0,1.0,1.0,1.0,0.039,0.571,0.845,"[np.float64(994.994943), np.float64(1022.040911), np.float64(1035.558378), np.float64(1044.060237), np.float64(1071.4624719333333)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_spline,True,9,spline_lags_1_sinusoidal_no,0.278,0.181,341.82,348.087,True,False,False,0.629,-1.399,0,1.0,1.202,1.005,1.027,0.33,0.75,0.363,"[np.float64(1014.3863337777778), np.float64(1025.9725), np.float64(1039.253506), np.float64(1044.958583), np.float64(1071.4624719333333)]",1.233,0.409,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_no_spline,True,9,spline_lags_2_sinusoidal_no,0.46,0.017,317.187,323.162,True,True,False,0.812,-24.39,0,1.0,1.031,1.032,1.0,0.787,0.217,0.768,"[np.float64(1014.3863337777778), np.float64(1030.08275), np.float64(1039.309967), np.float64(1045.202064), np.float64(1071.4624719333333)]",,,1.063,0.607,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.799,0.082,330.426,338.064,True,True,True,1.927,-1.778,0,1.0,1.023,1.124,1.022,0.007,0.609,0.652,"[np.float64(994.994943), np.float64(1022.040911), np.float64(1035.558378), np.float64(1044.060237), np.float64(1071.4624719333333)]",,,,,,,1.11,1.059,0.0,0.033
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_spline,True,9,spline_lags_1_sinusoidal_yes,0.809,0.546,317.94,326.296,True,True,True,1.919,-8.525,0,1.0,1.262,1.114,1.214,0.184,0.783,0.392,"[np.float64(1014.3863337777778), np.float64(1025.9725), np.float64(1039.253506), np.float64(1044.958583), np.float64(1071.4624719333333)]",1.251,0.196,,,,,1.316,1.022,0.0,0.029
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_yes_spline,True,9,spline_lags_2_sinusoidal_yes,0.915,0.911,284.191,292.157,True,True,True,1.915,-8.368,0,1.0,1.208,1.11,1.178,0.403,0.108,0.01,"[np.float64(1014.3863337777778), np.float64(1030.08275), np.float64(1039.309967), np.float64(1045.202064), np.float64(1071.4624719333333)]",,,1.077,0.017,,,1.406,1.014,0.0,0.003
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.192,0.03,952.975,962.919,True,False,False,0.505,-0.001,0,1.0,1.0,1.0,1.0,0.183,0.002,0.7,"[np.float64(982.1275), np.float64(1019.864076), np.float64(1044.092), np.float64(1059.5733), np.float64(1138.21092)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_spline,False,10,spline_lags_1_sinusoidal_no,0.179,0.053,936.526,948.348,True,False,False,0.493,-0.617,0,1.0,1.0,1.001,1.001,0.145,0.013,0.972,"[np.float64(982.1275), np.float64(1021.1656), np.float64(1048.0648), np.float64(1059.5733), np.float64(1138.21092)]",1.002,0.449,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_no_spline,False,10,spline_lags_2_sinusoidal_no,0.201,0.102,920.095,931.803,True,False,False,0.53,-0.704,0,1.0,1.002,1.001,1.001,0.238,0.012,0.289,"[np.float64(982.1275), np.float64(1022.7172), np.float64(1044.8), np.float64(1059.99705), np.float64(1138.21092)]",,,1.004,0.473,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_no_spline,False,10,spline_lags_6_sinusoidal_no,0.248,0.865,871.799,883.027,False,True,False,0.823,-0.229,0,1.0,1.015,1.179,1.0,0.013,0.097,0.984,"[np.float64(982.1275), np.float64(1021.5312), np.float64(1055.305), np.float64(1064.600175), np.float64(1138.21092)]",,,,,1.194,0.079,,,,
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_spline,False,10,spline_lags_none_sinusoidal_yes,0.408,0.024,940.103,954.026,True,False,False,0.591,0.16,0,1.0,1.257,1.184,1.098,0.703,0.012,0.35,"[np.float64(982.1275), np.float64(1019.864076), np.float64(1044.092), np.float64(1059.5733), np.float64(1138.21092)]",,,,,,,1.287,1.252,0.0,0.678
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_spline,False,10,spline_lags_1_sinusoidal_yes,0.397,0.027,924.184,939.947,True,False,False,0.635,-0.498,0,1.0,1.28,1.165,1.084,0.799,0.048,0.306,"[np.float64(982.1275), np.float64(1021.1656), np.float64(1048.0648), np.float64(1059.5733), np.float64(1138.21092)]",1.002,0.4,,,,,1.363,1.165,0.0,0.521
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_yes_spline,False,10,spline_lags_2_sinusoidal_yes,0.444,0.106,905.248,920.858,True,False,False,0.568,-0.779,0,1.0,1.279,1.147,1.099,0.511,0.05,0.972,"[np.float64(982.1275), np.float64(1022.7172), np.float64(1044.8), np.float64(1059.99705), np.float64(1138.21092)]",,,1.005,0.27,,,1.373,1.146,0.0,0.713
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_yes_spline,False,10,spline_lags_6_sinusoidal_yes,0.525,0.651,853.756,868.725,False,True,False,1.008,0.21,0,1.0,1.393,1.274,1.29,0.839,0.077,0.03,"[np.float64(982.1275), np.float64(1021.5312), np.float64(1055.305), np.float64(1064.600175), np.float64(1138.21092)]",,,,,1.217,0.035,1.626,1.115,0.0,0.225
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_no_spline,True,10,spline_lags_none_sinusoidal_no,0.428,0.527,343.208,348.663,True,True,False,0.954,-2.659,0,1.0,1.0,1.0,1.0,0.057,0.083,0.051,"[np.float64(994.994943), np.float64(1023.830289), np.float64(1036.814375), np.float64(1047.030505), np.float64(1064.71622474)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_no_spline,True,10,spline_lags_1_sinusoidal_no,0.246,0.161,337.143,343.41,True,False,False,0.652,-9.141,0,1.0,1.196,1.0,1.005,0.219,0.729,0.938,"[np.float64(1014.3547004), np.float64(1025.9725), np.float64(1034.537925), np.float64(1047.434255), np.float64(1064.71622474)]",1.201,0.55,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_no_spline,True,10,spline_lags_2_sinusoidal_no,0.481,0.007,310.186,316.161,True,True,False,1.092,-1.339,0,1.0,1.06,1.01,1.004,0.797,0.141,0.548,"[np.float64(1017.4397004), np.float64(1029.160769), np.float64(1038.776478), np.float64(1047.970253), np.float64(1064.71622474)]",,,1.074,0.531,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_yes_spline,True,10,spline_lags_none_sinusoidal_yes,0.864,0.001,315.599,323.236,True,True,False,2.595,-1.33,0,1.0,1.002,1.235,1.03,0.005,0.014,0.006,"[np.float64(994.994943), np.float64(1023.830289), np.float64(1036.814375), np.float64(1047.030505), np.float64(1064.71622474)]",,,,,,,1.166,1.101,0.0,0.001
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_yes_spline,True,10,spline_lags_1_sinusoidal_yes,0.775,0.506,315.71,324.066,True,True,True,2.15,-0.464,0,1.0,1.358,1.057,1.036,0.123,0.634,0.473,"[np.float64(1014.3547004), np.float64(1025.9725), np.float64(1034.537925), np.float64(1047.434255), np.float64(1064.71622474)]",1.23,0.472,,,,,1.177,1.043,0.0,0.02
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_yes_spline,True,10,spline_lags_2_sinusoidal_yes,0.83,0.916,291.818,299.784,True,True,True,2.337,-0.361,0,1.0,1.33,1.027,1.449,0.26,0.511,0.239,"[np.float64(1017.4397004), np.float64(1029.160769), np.float64(1038.776478), np.float64(1047.970253), np.float64(1064.71622474)]",,,1.103,0.151,,,1.653,1.049,0.001,0.008
