analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.17,0.736,506.072,516.73,True,True,False,0.477,-1.823,0,1.0,1.412,1.213,1.282,0.188,0.734,0.761,"[np.float64(756.4692376047618), np.float64(777.574137), np.float64(781.72185), np.float64(793.409591), np.float64(817.6236066333335)]",1.359,0.085,,,1.222,1.326,0.812,0.854
Croplands_cluster_2_yearly_True_window_8_lags_5_sinusoidal_yes_spline,True,8,spline_lags_5_sinusoidal_yes,0.365,0.021,447.874,457.299,True,False,False,0.498,-7.368,0,1.0,1.246,1.226,1.097,0.028,0.613,0.719,"[np.float64(757.219249085), np.float64(779.477353), np.float64(788.276135), np.float64(796.891122), np.float64(817.6236066333335)]",,,1.273,0.017,1.163,1.132,0.996,0.783
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.043,0.788,1248.401,1259.571,False,False,False,0.198,-0.304,0,1.0,1.0,1.0,1.0,0.148,0.848,0.504,"[np.float64(721.712888111111), np.float64(757.456333), np.float64(771.528822), np.float64(790.151434), np.float64(819.5449866222222)]",,,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.036,0.717,1233.816,1247.133,False,False,False,0.188,-0.234,0,1.0,1.004,1.01,1.027,0.184,0.848,0.95,"[np.float64(721.712888111111), np.float64(757.378067), np.float64(771.392211), np.float64(782.80462), np.float64(819.5449866222222)]",1.041,0.72,,,,,,
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_no_spline,False,9,spline_lags_5_sinusoidal_no,0.023,0.804,1165.806,1178.76,False,False,False,0.193,-0.152,0,1.0,1.014,1.038,1.006,0.371,0.854,0.502,"[np.float64(721.7128881111112), np.float64(756.000496), np.float64(768.802944), np.float64(784.564109), np.float64(819.5449866222223)]",,,1.058,0.771,,,,
Croplands_cluster_2_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.144,0.477,1244.74,1260.379,True,False,False,0.282,-0.248,0,1.0,1.124,1.03,1.005,0.03,0.891,0.432,"[np.float64(721.712888111111), np.float64(757.456333), np.float64(771.528822), np.float64(790.151434), np.float64(819.5449866222222)]",,,,,1.118,1.04,0.01,0.82
Croplands_cluster_2_yearly_False_window_9_lags_1_sinusoidal_yes_spline,False,9,spline_lags_1_sinusoidal_yes,0.133,0.483,1230.61,1248.366,True,False,False,0.269,-0.255,0,1.0,1.159,1.023,1.101,0.041,0.973,0.873,"[np.float64(721.712888111111), np.float64(757.378067), np.float64(771.392211), np.float64(782.80462), np.float64(819.5449866222222)]",1.043,0.642,,,1.13,1.111,0.013,0.801
Croplands_cluster_2_yearly_False_window_9_lags_5_sinusoidal_yes_spline,False,9,spline_lags_5_sinusoidal_yes,0.12,0.783,1163.125,1180.396,True,False,False,0.252,-0.07,0,1.0,1.272,1.054,1.042,0.084,0.832,0.597,"[np.float64(721.7128881111112), np.float64(756.000496), np.float64(768.802944), np.float64(784.564109), np.float64(819.5449866222223)]",,,1.06,0.694,1.217,1.092,0.018,0.832
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.153,0.651,517.988,524.824,False,True,False,0.564,-0.133,0,1.0,1.0,1.0,1.0,0.14,0.329,0.647,"[np.float64(754.9190065896296), np.float64(772.508368), np.float64(780.544693), np.float64(790.696466), np.float64(817.6236066333332)]",,,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_no_spline,True,9,spline_lags_1_sinusoidal_no,0.255,0.989,498.941,506.935,True,True,False,0.73,-0.687,0,1.0,1.338,1.003,1.06,0.044,0.337,0.499,"[np.float64(754.9190065896296), np.float64(773.071948), np.float64(781.166578), np.float64(790.849489), np.float64(817.6236066333335)]",1.401,0.039,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_no_spline,True,9,spline_lags_5_sinusoidal_no,0.276,0.135,443.777,450.845,True,True,False,0.738,-8.324,0,1.0,1.397,1.548,1.0,0.053,0.489,0.36,"[np.float64(754.9190065896296), np.float64(773.598291), np.float64(781.066625), np.float64(794.248047), np.float64(817.6236066333335)]",,,1.945,0.085,,,,
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.156,0.632,521.885,531.456,False,True,False,0.567,-3.156,0,1.0,1.033,1.039,1.077,0.158,0.382,0.62,"[np.float64(754.9190065896296), np.float64(772.508368), np.float64(780.544693), np.float64(790.696466), np.float64(817.6236066333332)]",,,,,1.1,1.049,0.795,0.915
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_yes_spline,True,9,spline_lags_1_sinusoidal_yes,0.265,0.904,502.568,513.225,True,True,False,0.796,-1.215,0,1.0,1.451,1.042,1.085,0.049,0.362,0.546,"[np.float64(754.9190065896296), np.float64(773.071948), np.float64(781.166578), np.float64(790.849489), np.float64(817.6236066333335)]",1.428,0.044,,,1.048,1.102,0.923,0.618
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_yes_spline,True,9,spline_lags_5_sinusoidal_yes,0.287,0.169,447.41,456.834,True,True,False,0.746,-14.251,0,1.0,1.612,1.583,1.351,0.062,0.483,0.54,"[np.float64(754.9190065896296), np.float64(773.598291), np.float64(781.066625), np.float64(794.248047), np.float64(817.6236066333335)]",,,2.025,0.1,1.344,1.178,0.675,0.822
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.078,0.714,1242.583,1253.753,False,False,False,0.182,0.048,0,1.0,1.0,1.0,1.0,0.108,0.271,0.209,"[np.float64(726.60711927), np.float64(757.11818), np.float64(768.509095), np.float64(789.24638), np.float64(821.0435872599999)]",,,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_no_spline,False,10,spline_lags_1_sinusoidal_no,0.057,0.99,1229.071,1242.388,False,False,False,0.17,-0.273,0,1.0,1.003,1.0,1.005,0.119,0.447,0.613,"[np.float64(726.6071192699999), np.float64(759.750548), np.float64(772.3168), np.float64(789.38117), np.float64(821.0435872600001)]",1.007,0.72,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_no_spline,False,10,spline_lags_5_sinusoidal_no,0.051,0.944,1161.432,1174.385,False,False,False,0.195,-0.067,0,1.0,1.068,1.051,1.013,0.291,0.646,0.254,"[np.float64(726.6071192699999), np.float64(757.06918), np.float64(768.427744), np.float64(793.96483), np.float64(821.0435872599999)]",,,1.132,0.529,,,,
