analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_True_window_5_lags_4_sinusoidal_no_linear,True,5,linear_lags_4_sinusoidal_no,0.597,0.019,405.077,409.566,True,False,False,0.506,0.468,0,1.0,,,,,,,1.0,0.013,,,,,,
CPER_yearly_True_window_5_lags_5_sinusoidal_no_linear,True,5,linear_lags_5_sinusoidal_no,0.671,0.475,387.138,391.535,True,False,False,0.44,0.588,0,1.0,,,,,,,,,1.0,0.001,,,,
CPER_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.721,0.0,440.989,447.433,True,True,False,0.377,0.529,0,1.0,,,,,,,,,,,1.0,1.0,0.555,0.0
CPER_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.766,0.0,422.991,430.909,True,True,False,0.742,0.575,0,1.0,1.0,0.608,,,,,,,,,1.0,1.0,0.629,0.0
CPER_yearly_True_window_5_lags_2_sinusoidal_yes_linear,True,5,linear_lags_2_sinusoidal_yes,0.817,0.0,403.647,411.423,True,True,False,0.693,0.736,0,1.0,,,1.0,0.123,,,,,,,1.0,1.0,0.809,0.0
CPER_yearly_True_window_5_lags_3_sinusoidal_yes_linear,True,5,linear_lags_3_sinusoidal_yes,0.83,0.0,391.319,398.951,True,True,False,0.699,0.77,0,1.0,,,,,1.0,0.023,,,,,1.0,1.0,0.954,0.0
CPER_yearly_True_window_5_lags_4_sinusoidal_yes_linear,True,5,linear_lags_4_sinusoidal_yes,0.83,0.001,380.663,388.146,True,False,False,0.676,0.785,0,1.0,,,,,,,1.0,0.008,,,1.0,1.0,0.902,0.0
CPER_yearly_True_window_5_lags_5_sinusoidal_yes_linear,True,5,linear_lags_5_sinusoidal_yes,0.846,0.07,366.87,374.199,True,True,False,0.705,0.799,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.802,0.0
CPER_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.51,0.0,449.842,453.064,True,False,False,0.289,0.406,0,1.0,,,,,,,,,,,,,,
CPER_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.464,0.0,440.227,444.978,True,False,False,0.322,0.387,0,1.0,1.0,0.726,,,,,,,,,,,,
CPER_yearly_False_window_6_lags_2_sinusoidal_no_linear,False,6,linear_lags_2_sinusoidal_no,0.515,0.0,425.541,430.207,True,False,False,0.334,0.445,0,1.0,,,1.0,0.104,,,,,,,,,,
CPER_yearly_False_window_6_lags_3_sinusoidal_no_linear,False,6,linear_lags_3_sinusoidal_no,0.575,0.003,410.816,415.395,True,False,False,0.444,0.508,0,1.0,,,,,1.0,0.013,,,,,,,,
CPER_yearly_False_window_6_lags_4_sinusoidal_no_linear,False,6,linear_lags_4_sinusoidal_no,0.599,0.029,397.296,401.786,True,True,False,0.543,0.538,0,1.0,,,,,,,1.0,0.004,,,,,,
CPER_yearly_False_window_6_lags_5_sinusoidal_no_linear,False,6,linear_lags_5_sinusoidal_no,0.666,0.439,380.248,384.646,True,True,False,0.496,0.593,0,1.0,,,,,,,,,1.0,0.0,,,,
CPER_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.692,0.0,436.694,443.137,True,True,False,0.366,0.498,0,1.0,,,,,,,,,,,1.0,1.0,0.902,0.0
CPER_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.757,0.0,415.665,423.582,True,True,False,0.633,0.503,0,1.0,1.0,0.616,,,,,,,,,1.0,1.0,0.692,0.0
CPER_yearly_False_window_6_lags_2_sinusoidal_yes_linear,False,6,linear_lags_2_sinusoidal_yes,0.795,0.0,399.396,407.173,True,True,False,0.716,0.695,0,1.0,,,1.0,0.025,,,,,,,1.0,1.0,0.441,0.0
CPER_yearly_False_window_6_lags_3_sinusoidal_yes_linear,False,6,linear_lags_3_sinusoidal_yes,0.83,0.0,383.698,391.33,True,True,False,0.708,0.763,0,1.0,,,,,1.0,0.002,,,,,1.0,1.0,0.319,0.0
CPER_yearly_False_window_6_lags_4_sinusoidal_yes_linear,False,6,linear_lags_4_sinusoidal_yes,0.831,0.002,372.714,380.197,True,True,False,0.743,0.806,0,1.0,,,,,,,1.0,0.001,,,1.0,1.0,0.472,0.0
CPER_yearly_False_window_6_lags_5_sinusoidal_yes_linear,False,6,linear_lags_5_sinusoidal_yes,0.838,0.048,360.977,368.306,True,True,False,0.791,0.81,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.907,0.0
CPER_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.51,0.0,449.842,453.064,True,False,False,0.289,0.406,0,1.0,,,,,,,,,,,,,,
CPER_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.464,0.0,440.227,444.978,True,False,False,0.322,0.387,0,1.0,1.0,0.726,,,,,,,,,,,,
CPER_yearly_True_window_6_lags_2_sinusoidal_no_linear,True,6,linear_lags_2_sinusoidal_no,0.515,0.0,425.541,430.207,True,False,False,0.334,0.445,0,1.0,,,1.0,0.104,,,,,,,,,,
CPER_yearly_True_window_6_lags_3_sinusoidal_no_linear,True,6,linear_lags_3_sinusoidal_no,0.575,0.003,410.816,415.395,True,False,False,0.444,0.508,0,1.0,,,,,1.0,0.013,,,,,,,,
CPER_yearly_True_window_6_lags_4_sinusoidal_no_linear,True,6,linear_lags_4_sinusoidal_no,0.599,0.029,397.296,401.786,True,True,False,0.543,0.538,0,1.0,,,,,,,1.0,0.004,,,,,,
CPER_yearly_True_window_6_lags_5_sinusoidal_no_linear,True,6,linear_lags_5_sinusoidal_no,0.666,0.439,380.248,384.646,True,True,False,0.496,0.593,0,1.0,,,,,,,,,1.0,0.0,,,,
CPER_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.692,0.0,436.694,443.137,True,True,False,0.366,0.498,0,1.0,,,,,,,,,,,1.0,1.0,0.902,0.0
CPER_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.757,0.0,415.665,423.582,True,True,False,0.633,0.503,0,1.0,1.0,0.616,,,,,,,,,1.0,1.0,0.692,0.0
CPER_yearly_True_window_6_lags_2_sinusoidal_yes_linear,True,6,linear_lags_2_sinusoidal_yes,0.795,0.0,399.396,407.173,True,True,False,0.716,0.695,0,1.0,,,1.0,0.025,,,,,,,1.0,1.0,0.441,0.0
CPER_yearly_True_window_6_lags_3_sinusoidal_yes_linear,True,6,linear_lags_3_sinusoidal_yes,0.83,0.0,383.698,391.33,True,True,False,0.708,0.763,0,1.0,,,,,1.0,0.002,,,,,1.0,1.0,0.319,0.0
CPER_yearly_True_window_6_lags_4_sinusoidal_yes_linear,True,6,linear_lags_4_sinusoidal_yes,0.831,0.002,372.714,380.197,True,True,False,0.743,0.806,0,1.0,,,,,,,1.0,0.001,,,1.0,1.0,0.472,0.0
CPER_yearly_True_window_6_lags_5_sinusoidal_yes_linear,True,6,linear_lags_5_sinusoidal_yes,0.838,0.048,360.977,368.306,True,True,False,0.791,0.81,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.907,0.0
CPER_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.444,0.0,444.726,447.947,True,False,False,0.269,0.233,0,1.0,,,,,,,,,,,,,,
CPER_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.439,0.0,434.19,438.941,True,False,False,0.361,0.31,0,1.0,1.0,0.331,,,,,,,,,,,,
