analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.222,0.127,357.922,360.909,True,True,False,1.229,-1.795,0,1.0,1.0,0.058,,,,
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.005,0.833,382.725,386.904,True,False,False,1.011,-1.665,0,1.0,,,1.0,1.0,0.995,0.812
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.232,0.147,361.665,366.644,True,True,False,1.241,-2.749,0,1.0,1.0,0.072,1.0,1.0,0.926,0.676
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.012,0.657,339.708,341.597,True,True,False,0.562,-0.293,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.035,0.597,323.41,326.081,True,True,False,0.594,-0.141,0,1.0,1.0,0.523,,,,
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.056,0.627,342.843,346.62,True,True,False,0.675,-0.645,0,1.0,,,1.0,1.0,0.424,0.872
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.085,0.694,326.448,330.9,True,True,False,0.744,-1.208,0,1.0,1.0,0.566,1.0,1.0,0.421,0.873
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.018,0.565,368.586,370.675,False,True,False,0.884,-0.807,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.302,0.037,346.858,349.846,True,True,False,1.122,-0.598,0,1.0,1.0,0.048,,,,
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.055,0.487,371.775,375.954,False,True,False,1.072,-1.029,0,1.0,,,1.0,1.0,0.637,0.518
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.305,0.052,350.779,355.758,False,True,False,1.152,-0.971,0,1.0,1.0,0.063,1.0,1.0,0.937,0.821
Maize-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.011,0.665,336.337,338.225,True,True,False,0.393,-0.3,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.032,0.67,320.843,323.514,False,True,False,0.447,-0.096,0,1.0,1.0,0.538,,,,
Maize-Cluster_0_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.101,0.758,338.53,342.308,True,True,False,0.596,-0.499,0,1.0,,,1.0,1.0,0.241,0.911
Maize-Cluster_0_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.146,0.782,322.599,327.051,False,True,False,0.596,-0.217,0,1.0,1.0,0.561,1.0,1.0,0.212,0.98
Maize-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.137,0.099,358.258,360.347,True,False,False,0.567,0.091,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.415,0.004,336.161,339.148,True,True,False,0.95,0.101,0,1.0,1.0,0.102,,,,
Maize-Cluster_0_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.321,0.122,357.228,361.406,True,True,False,0.877,0.137,0,1.0,,,1.0,1.0,0.058,0.494
Maize-Cluster_0_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.575,0.003,333.789,338.768,True,True,False,1.137,0.491,0,1.0,1.0,0.075,1.0,1.0,0.442,0.044
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.002,0.848,334.646,336.535,False,True,False,0.343,-0.156,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.083,0.334,318.973,321.644,False,True,False,0.324,-0.485,0,1.0,1.0,0.362,,,,
Maize-Cluster_0_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.158,0.709,335.424,339.202,True,True,False,0.629,-0.419,0,1.0,,,1.0,1.0,0.118,0.888
Maize-Cluster_0_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.228,0.329,319.866,324.318,True,True,False,0.519,-0.515,0,1.0,1.0,0.346,1.0,1.0,0.175,0.581
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.127,0.113,357.901,359.99,True,False,False,0.55,-0.087,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.424,0.003,336.411,339.398,True,True,False,0.894,0.097,0,1.0,1.0,0.229,,,,
Maize-Cluster_0_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.308,0.114,357.033,361.211,True,False,False,0.827,-0.185,0,1.0,,,1.0,1.0,0.061,0.54
Maize-Cluster_0_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.607,0.001,332.742,337.72,True,True,False,1.191,0.494,0,1.0,1.0,0.111,1.0,1.0,0.763,0.021
Maize-Cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.004,0.793,331.218,333.107,False,True,False,0.311,-0.43,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.035,0.604,316.829,319.5,False,True,False,0.283,-0.157,0,1.0,1.0,0.521,,,,
Maize-Cluster_0_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.171,0.909,331.738,335.516,False,True,False,0.58,-0.341,0,1.0,,,1.0,1.0,0.114,0.644
Maize-Cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.201,0.433,317.421,321.873,True,True,False,0.459,-2.933,0,1.0,1.0,0.433,1.0,1.0,0.214,0.401
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.265,0.017,354.038,356.127,True,True,False,0.638,-0.028,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.483,0.001,333.573,336.56,True,True,False,0.859,0.055,0,1.0,1.0,0.375,,,,
Maize-Cluster_0_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.64,0.002,343.045,347.223,True,True,False,1.125,0.331,0,1.0,,,1.0,1.0,0.001,0.172
Maize-Cluster_0_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.744,0.0,323.531,328.51,True,True,False,1.357,0.329,0,1.0,1.0,0.235,1.0,1.0,0.015,0.029
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.0,0.989,331.172,333.061,False,True,False,0.264,-0.563,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.017,0.649,316.001,318.673,False,True,False,0.226,-1.391,0,1.0,1.0,0.919,,,,
Maize-Cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.33,0.254,327.576,331.354,True,True,False,0.587,-0.201,0,1.0,,,1.0,1.0,0.018,0.477
Maize-Cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.33,0.283,313.115,317.567,True,True,False,0.559,-1.747,0,1.0,1.0,0.581,1.0,1.0,0.035,0.401
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.293,0.011,351.79,353.879,True,True,False,0.43,0.174,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.629,0.0,325.43,328.417,True,True,False,0.861,0.256,0,1.0,1.0,0.116,,,,
Maize-Cluster_0_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.599,0.003,343.882,348.061,True,True,False,0.771,0.295,0,1.0,,,1.0,1.0,0.004,0.219
Maize-Cluster_0_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.835,0.0,313.178,318.157,True,True,False,1.248,0.535,0,1.0,1.0,0.034,1.0,1.0,0.042,0.005
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.025,0.52,327.476,329.365,False,True,False,0.243,-0.248,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.002,0.865,312.997,315.669,False,True,False,0.171,-0.554,0,1.0,1.0,0.951,,,,
Maize-Cluster_0_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.267,0.979,326.047,329.825,True,True,False,0.43,-0.353,0,1.0,,,1.0,1.0,0.047,0.581
Maize-Cluster_0_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.267,0.997,311.444,315.896,True,True,False,0.384,-0.801,0,1.0,1.0,0.972,1.0,1.0,0.051,0.791
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.298,0.011,354.088,356.177,True,True,False,0.508,0.274,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.69,0.0,323.722,326.709,True,True,False,0.919,-0.034,0,1.0,1.0,0.009,,,,
Maize-Cluster_0_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.529,0.007,349.709,353.887,True,False,False,0.873,0.136,0,1.0,,,1.0,1.0,0.01,0.908
Maize-Cluster_0_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.774,0.0,321.426,326.405,True,True,False,1.108,0.0,0,1.0,1.0,0.015,1.0,1.0,0.042,0.555
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.1,0.187,324.861,326.75,True,False,False,0.222,-0.055,0,1.0,,,,,,
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.008,0.899,312.157,314.828,False,True,False,0.118,-0.207,0,1.0,1.0,0.751,,,,
Maize-Cluster_0_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.334,0.43,323.137,326.915,True,True,False,0.334,-0.005,0,1.0,,,1.0,1.0,0.037,0.965
Maize-Cluster_0_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.299,0.987,309.913,314.365,True,True,False,0.35,-0.09,0,1.0,1.0,0.788,1.0,1.0,0.037,0.952
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.18,0.055,355.679,357.769,True,False,False,0.358,0.172,0,1.0,,,,,,
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.648,0.0,324.608,327.596,True,True,False,0.937,0.218,0,1.0,1.0,0.013,,,,
Maize-Cluster_0_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.452,0.048,351.212,355.39,True,True,False,0.633,0.256,0,1.0,,,1.0,1.0,0.015,0.337
Maize-Cluster_0_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.738,0.0,322.707,327.686,True,True,False,1.025,0.038,0,1.0,1.0,0.03,1.0,1.0,0.046,0.505
