analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_True_window_6_lags_none_sinusoidal_yes_spline,True,6,spline_lags_none_sinusoidal_yes,0.855,0.0,278.636,285.247,True,True,False,0.781,-6.313,0,1.0,1.064,1.007,1.016,0.241,0.369,0.111,"[np.float64(836.798825), np.float64(929.498434), np.float64(996.38569), np.float64(1045.277839), np.float64(1106.2266811000002)]",1.078,1.009,0.816,0.827
Winter_Wheat_yearly_False_window_7_lags_none_sinusoidal_no_spline,False,7,spline_lags_none_sinusoidal_no,0.816,0.0,333.312,338.989,True,True,True,1.761,0.74,0,1.0,1.0,1.0,1.0,0.09,0.113,0.075,"[np.float64(831.6980000000001), np.float64(937.283926), np.float64(985.425341), np.float64(1027.331405), np.float64(1075.919882)]",,,,
Winter_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_spline,False,7,spline_lags_none_sinusoidal_yes,0.881,0.0,327.3,335.249,True,True,True,2.089,0.352,0,1.0,1.021,1.014,1.238,0.028,0.082,0.258,"[np.float64(831.6980000000001), np.float64(937.283926), np.float64(985.425341), np.float64(1027.331405), np.float64(1075.919882)]",1.219,1.054,0.03,0.179
Winter_Wheat_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.808,0.0,275.407,280.129,True,True,False,0.964,0.162,0,1.0,1.0,1.0,1.0,0.48,0.517,0.275,"[np.float64(836.798825), np.float64(944.452655), np.float64(994.363343), np.float64(1037.70328), np.float64(1096.985726657143)]",,,,
Winter_Wheat_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.865,0.0,272.68,279.291,True,True,False,1.249,0.243,0,1.0,1.102,1.085,1.085,0.168,0.232,0.577,"[np.float64(836.798825), np.float64(944.452655), np.float64(994.363343), np.float64(1037.70328), np.float64(1096.985726657143)]",1.063,1.21,0.668,0.047
Winter_Wheat_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.754,0.0,329.964,335.642,True,True,True,1.707,-1.503,0,1.0,1.0,1.0,1.0,0.143,0.639,0.737,"[np.float64(836.798825), np.float64(939.503153), np.float64(983.279282), np.float64(1029.681894), np.float64(1077.5938972625)]",,,,
Winter_Wheat_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.802,0.0,328.992,336.941,True,True,True,2.107,-5.071,0,1.0,1.009,1.006,1.004,0.12,0.559,0.746,"[np.float64(836.798825), np.float64(939.503153), np.float64(983.279282), np.float64(1029.681894), np.float64(1077.5938972625)]",1.011,1.009,0.106,0.401
Winter_Wheat_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.872,0.0,268.147,272.869,False,True,False,1.389,-2.094,0,1.0,1.0,1.0,1.0,0.431,0.669,0.93,"[np.float64(836.798825), np.float64(939.797878), np.float64(987.994045), np.float64(1016.953903), np.float64(1082.612510825)]",,,,
Winter_Wheat_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.931,0.0,260.453,267.064,True,True,True,1.856,0.133,0,1.0,1.01,1.119,1.119,0.172,0.646,0.35,"[np.float64(836.798825), np.float64(939.797878), np.float64(987.994045), np.float64(1016.953903), np.float64(1082.612510825)]",1.069,1.179,0.705,0.008
Winter_Wheat_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.783,0.0,321.244,326.921,True,True,False,1.256,0.171,0,1.0,1.0,1.0,1.0,0.107,0.238,0.201,"[np.float64(882.20054), np.float64(939.203544), np.float64(981.572829), np.float64(1013.913825), np.float64(1073.5879086777777)]",,,,
Winter_Wheat_yearly_False_window_9_lags_none_sinusoidal_yes_spline,False,9,spline_lags_none_sinusoidal_yes,0.837,0.0,318.68,326.629,True,True,True,1.78,0.274,0,1.0,1.216,1.048,1.121,0.054,0.211,0.502,"[np.float64(882.20054), np.float64(939.203544), np.float64(981.572829), np.float64(1013.913825), np.float64(1073.5879086777777)]",1.202,1.183,0.933,0.038
Winter_Wheat_yearly_True_window_9_lags_none_sinusoidal_no_spline,True,9,spline_lags_none_sinusoidal_no,0.872,0.0,263.828,268.55,True,True,False,0.925,-1.834,0,1.0,1.0,1.0,1.0,0.182,0.315,0.829,"[np.float64(882.20054), np.float64(947.440388), np.float64(993.837611), np.float64(1018.415684), np.float64(1080.3222318444443)]",,,,
Winter_Wheat_yearly_True_window_9_lags_none_sinusoidal_yes_spline,True,9,spline_lags_none_sinusoidal_yes,0.919,0.0,259.068,265.679,True,True,False,1.265,-2.368,0,1.0,1.127,1.301,1.224,0.069,0.278,0.229,"[np.float64(882.20054), np.float64(947.440388), np.float64(993.837611), np.float64(1018.415684), np.float64(1080.3222318444443)]",1.478,1.174,0.082,0.128
Winter_Wheat_yearly_False_window_10_lags_none_sinusoidal_no_spline,False,10,spline_lags_none_sinusoidal_no,0.764,0.0,321.911,327.588,True,True,False,1.355,0.314,0,1.0,1.0,1.0,1.0,0.326,0.12,0.14,"[np.float64(882.20054), np.float64(943.468223), np.float64(981.006081), np.float64(1017.697578), np.float64(1064.6049174)]",,,,
Winter_Wheat_yearly_False_window_10_lags_none_sinusoidal_yes_spline,False,10,spline_lags_none_sinusoidal_yes,0.821,0.0,319.552,327.501,True,True,False,1.424,0.011,0,1.0,1.241,1.028,1.171,0.223,0.09,0.332,"[np.float64(882.20054), np.float64(943.468223), np.float64(981.006081), np.float64(1017.697578), np.float64(1064.6049174)]",1.348,1.092,0.978,0.038
