analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_True_window_9_lags_7_sinusoidal_no_quadratic,True,9,quadratic_lags_7_sinusoidal_no,0.541,0.002,451.724,457.328,False,True,False,0.284,0.308,0,1.692,1.693,0.099,,,1.0,0.961,,,,
Soybean_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.636,0.0,558.765,566.819,False,True,False,0.283,0.518,0,2.069,2.571,0.88,,,,,1.501,1.001,0.034,0.508
Soybean_yearly_True_window_9_lags_1_sinusoidal_yes_quadratic,True,9,quadratic_lags_1_sinusoidal_yes,0.744,0.0,527.412,536.913,True,True,False,0.446,0.508,0,2.172,2.657,0.552,1.0,0.987,,,1.482,1.003,0.007,0.022
Soybean_yearly_True_window_9_lags_7_sinusoidal_yes_quadratic,True,9,quadratic_lags_7_sinusoidal_yes,0.723,0.0,440.553,448.96,True,True,False,0.601,0.357,0,2.686,4.122,0.311,,,1.001,0.149,2.434,1.002,0.778,0.001
Soybean_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.163,0.025,961.754,968.037,True,False,False,0.139,0.068,0,1.819,1.819,0.325,,,,,,,,
Soybean_yearly_False_window_10_lags_1_sinusoidal_no_quadratic,False,10,quadratic_lags_1_sinusoidal_no,0.187,0.023,939.153,947.463,True,False,False,0.219,0.012,0,1.859,1.86,0.522,1.001,0.34,,,,,,
Soybean_yearly_False_window_10_lags_7_sinusoidal_no_quadratic,False,10,quadratic_lags_7_sinusoidal_no,0.133,0.082,833.101,840.982,True,False,False,0.205,0.078,0,2.035,2.094,0.874,,,1.059,0.888,,,,
Soybean_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.183,0.045,964.345,974.817,False,False,False,0.154,-0.048,0,2.195,2.655,0.187,,,,,1.46,1.0,0.316,0.636
Soybean_yearly_False_window_10_lags_1_sinusoidal_yes_quadratic,False,10,quadratic_lags_1_sinusoidal_yes,0.223,0.029,940.472,952.937,True,False,False,0.247,-0.04,0,2.26,2.729,0.365,1.002,0.347,,,1.464,1.004,0.34,0.256
Soybean_yearly_False_window_10_lags_7_sinusoidal_yes_quadratic,False,10,quadratic_lags_7_sinusoidal_yes,0.354,0.016,821.526,833.347,True,False,False,0.346,0.243,0,2.543,3.121,0.172,,,1.088,0.314,1.483,1.008,0.008,0.012
Soybean_yearly_True_window_10_lags_none_sinusoidal_no_quadratic,True,10,quadratic_lags_none_sinusoidal_no,0.565,0.0,559.73,564.563,False,True,False,0.16,0.36,0,1.61,1.61,0.204,,,,,,,,
Soybean_yearly_True_window_10_lags_1_sinusoidal_no_quadratic,True,10,quadratic_lags_1_sinusoidal_no,0.648,0.0,532.554,538.888,False,True,False,0.259,0.35,0,1.682,1.692,0.38,1.01,0.446,,,,,,
Soybean_yearly_True_window_10_lags_7_sinusoidal_no_quadratic,True,10,quadratic_lags_7_sinusoidal_no,0.538,0.008,450.497,456.102,False,True,False,0.186,0.36,0,1.594,1.596,0.178,,,1.002,0.451,,,,
Soybean_yearly_True_window_10_lags_none_sinusoidal_yes_quadratic,True,10,quadratic_lags_none_sinusoidal_yes,0.628,0.0,557.949,566.004,False,True,False,0.223,0.346,0,1.821,2.166,0.976,,,,,1.345,1.0,0.033,0.464
Soybean_yearly_True_window_10_lags_1_sinusoidal_yes_quadratic,True,10,quadratic_lags_1_sinusoidal_yes,0.755,0.0,523.492,532.993,False,True,False,0.404,0.14,0,1.9,2.232,0.397,1.013,0.728,,,1.314,1.006,0.01,0.013
Soybean_yearly_True_window_10_lags_7_sinusoidal_yes_quadratic,True,10,quadratic_lags_7_sinusoidal_yes,0.694,0.001,442.101,450.508,True,True,False,0.334,0.208,0,2.237,3.321,0.813,,,1.003,0.923,2.053,1.028,0.19,0.006
