analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.93,0.204,304.11,308.652,True,False,False,1.041,0.891,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.941,0.016,289.693,295.148,True,True,False,1.31,0.935,0,1.0,1.0,0.0,1.0,1.0,0.001,0.0
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.076,0.086,637.005,640.383,False,False,False,0.296,0.047,0,1.0,,,,,,
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.077,0.123,623.064,628.055,False,True,False,0.325,-0.119,0,1.0,1.0,0.307,,,,
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.759,0.0,587.214,593.97,True,True,False,1.184,0.598,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.793,0.0,568.794,577.112,True,True,False,1.415,0.728,0,1.0,1.0,0.008,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.001,0.904,357.155,359.426,False,True,False,0.141,-1.119,0,1.0,,,,,,
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.192,0.806,338.699,341.972,True,True,False,0.447,-0.267,0,1.0,1.0,0.081,,,,
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.917,0.963,303.996,308.538,False,False,False,0.903,0.815,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.916,0.575,292.953,298.409,False,True,False,1.236,0.866,0,1.0,1.0,0.0,1.0,1.0,0.003,0.0
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.067,0.107,633.831,637.209,False,False,False,0.356,-0.021,0,1.0,,,,,,
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.092,0.122,618.846,623.836,False,True,False,0.344,-0.37,0,1.0,1.0,0.158,,,,
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.75,0.0,585.085,591.841,False,True,False,1.36,0.6,0,1.0,,,1.0,1.0,0.0,0.0
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.793,0.0,565.078,573.396,True,True,True,1.586,0.703,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_no_linear,True,10,linear_lags_none_sinusoidal_no,0.0,0.965,352.972,355.243,False,True,False,0.134,-1.161,0,1.0,,,,,,
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_no_linear,True,10,linear_lags_1_sinusoidal_no,0.245,0.574,333.11,336.384,True,True,False,0.443,-0.394,0,1.0,1.0,0.037,,,,
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_yes_linear,True,10,linear_lags_none_sinusoidal_yes,0.927,0.955,296.749,301.291,False,True,False,1.011,0.76,0,1.0,,,1.0,1.0,0.001,0.0
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_yes_linear,True,10,linear_lags_1_sinusoidal_yes,0.942,0.122,280.541,285.996,True,True,True,1.772,0.862,0,1.0,1.0,0.0,1.0,1.0,0.003,0.0
