analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_4_lags_7_sinusoidal_no_piecewise,False,4,piecewise_lags_7_sinusoidal_no,0.227,0.391,850.596,858.478,True,True,False,0.882,0.107,0,9.636,11.317,0.353,646.051499635,,,2.681,0.121,,,,
Soybean_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.231,0.537,968.501,978.973,True,False,False,0.871,-0.131,0,2.874,2.898,0.162,702.9482590603031,,,,,1.014,1.011,0.75,0.213
Soybean_yearly_False_window_4_lags_1_sinusoidal_yes_piecewise,False,4,piecewise_lags_1_sinusoidal_yes,0.266,0.618,952.094,964.559,True,False,False,0.865,-0.155,0,2.999,3.094,0.194,703.0812303600001,1.071,0.753,,,1.016,1.008,0.69,0.097
Soybean_yearly_False_window_4_lags_7_sinusoidal_yes_piecewise,False,4,piecewise_lags_7_sinusoidal_yes,0.308,0.307,848.686,860.507,True,False,False,1.014,0.149,0,10.351,12.255,0.253,646.051499635,,,2.82,0.259,1.001,1.082,0.197,0.055
Soybean_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.294,0.139,581.666,586.498,False,True,False,0.556,0.237,0,1.332,1.332,0.205,827.6289106499999,,,,,,,,
Soybean_yearly_True_window_4_lags_1_sinusoidal_no_piecewise,True,4,piecewise_lags_1_sinusoidal_no,0.359,0.233,563.194,569.528,True,True,False,0.566,0.087,0,1.801,1.927,0.369,790.5920745936868,1.126,0.898,,,,,,
Soybean_yearly_True_window_4_lags_7_sinusoidal_no_piecewise,True,4,piecewise_lags_7_sinusoidal_no,0.264,0.912,473.424,479.028,False,True,False,0.559,-0.154,0,2.07,2.52,0.172,788.2605883899074,,,1.45,0.911,,,,
Soybean_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.366,0.116,581.696,589.751,True,True,False,0.614,0.182,0,1.334,1.34,0.215,827.6289106499999,,,,,1.0,1.006,0.071,0.729
Soybean_yearly_True_window_4_lags_1_sinusoidal_yes_piecewise,True,4,piecewise_lags_1_sinusoidal_yes,0.452,0.168,561.56,571.061,True,False,False,0.64,0.026,0,1.802,1.928,0.401,790.5920745936868,1.126,0.928,,,1.0,1.0,0.069,0.224
Soybean_yearly_True_window_4_lags_7_sinusoidal_yes_piecewise,True,4,piecewise_lags_7_sinusoidal_yes,0.392,0.449,471.668,480.076,True,False,False,0.67,-0.271,0,2.12,2.637,0.259,788.2605883899074,,,1.471,0.61,1.004,1.043,0.402,0.045
Soybean_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.179,0.667,973.205,979.489,True,False,False,0.763,0.154,0,1.837,1.837,0.063,770.9615427313131,,,,,,,,
Soybean_yearly_False_window_5_lags_1_sinusoidal_no_piecewise,False,5,piecewise_lags_1_sinusoidal_no,0.183,0.43,956.992,965.302,True,False,False,0.842,0.027,0,2.616,2.681,0.105,720.3924346692525,1.065,0.737,,,,,,
Soybean_yearly_False_window_5_lags_7_sinusoidal_no_piecewise,False,5,piecewise_lags_7_sinusoidal_no,0.159,0.486,854.683,862.564,False,False,False,0.9,0.051,0,5.572,7.149,0.311,710.2113938786263,,,2.577,0.345,,,,
Soybean_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.196,0.587,976.019,986.491,True,False,False,0.8,0.085,0,1.881,1.934,0.047,770.9615427313131,,,,,1.038,1.014,0.457,0.46
Soybean_yearly_False_window_5_lags_1_sinusoidal_yes_piecewise,False,5,piecewise_lags_1_sinusoidal_yes,0.205,0.434,959.378,971.844,True,False,False,0.879,-0.054,0,2.665,2.761,0.099,720.3924346692525,1.067,0.702,,,1.018,1.012,0.497,0.321
Soybean_yearly_False_window_5_lags_7_sinusoidal_yes_piecewise,False,5,piecewise_lags_7_sinusoidal_yes,0.251,0.501,852.559,864.381,True,False,False,1.066,-0.003,0,5.799,7.504,0.25,710.2113938786263,,,2.655,0.53,1.005,1.045,0.06,0.165
Soybean_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.308,0.798,576.185,581.017,False,True,False,0.245,0.229,0,1.742,1.742,0.159,782.5070142229697,,,,,,,,
Soybean_yearly_True_window_5_lags_1_sinusoidal_no_piecewise,True,5,piecewise_lags_1_sinusoidal_no,0.399,0.624,555.081,561.415,False,True,False,0.315,0.097,0,1.734,1.792,0.168,782.620204074697,1.058,0.518,,,,,,
Soybean_yearly_True_window_5_lags_7_sinusoidal_no_piecewise,True,5,piecewise_lags_7_sinusoidal_no,0.254,0.599,465.821,471.426,False,True,False,0.32,-0.267,0,2.4,2.926,0.118,782.7367808722222,,,1.525,0.938,,,,
Soybean_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.386,0.588,575.741,583.796,True,True,False,0.26,0.208,0,1.746,1.751,0.267,782.5070142229697,,,,,1.004,1.001,0.052,0.95
Soybean_yearly_True_window_5_lags_1_sinusoidal_yes_piecewise,True,5,piecewise_lags_1_sinusoidal_yes,0.49,0.316,553.174,562.675,True,False,False,0.335,0.12,0,1.736,1.797,0.363,782.620204074697,1.059,0.564,,,1.003,1.0,0.039,0.369
Soybean_yearly_True_window_5_lags_7_sinusoidal_yes_piecewise,True,5,piecewise_lags_7_sinusoidal_yes,0.365,0.649,464.979,473.387,True,False,False,0.338,-0.662,0,2.469,3.07,0.384,782.7367808722222,,,1.551,0.687,1.001,1.049,0.345,0.066
Soybean_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.227,0.09,960.394,966.677,True,False,False,0.518,0.133,0,3.171,3.171,0.028,692.1053227121716,,,,,,,,
Soybean_yearly_False_window_6_lags_1_sinusoidal_no_piecewise,False,6,piecewise_lags_1_sinusoidal_no,0.249,0.094,942.362,950.672,False,False,False,0.534,0.168,0,3.234,3.292,0.028,691.5024626450505,1.059,0.697,,,,,,
Soybean_yearly_False_window_6_lags_7_sinusoidal_no_piecewise,False,6,piecewise_lags_7_sinusoidal_no,0.205,0.271,844.786,852.667,True,False,False,0.516,0.171,0,6.135,7.624,0.144,695.2717261174747,,,2.489,0.466,,,,
Soybean_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.242,0.098,963.199,973.671,True,False,False,0.537,0.03,0,3.222,3.245,0.03,692.1053227121716,,,,,1.017,1.006,0.353,0.645
Soybean_yearly_False_window_6_lags_1_sinusoidal_yes_piecewise,False,6,piecewise_lags_1_sinusoidal_yes,0.28,0.116,943.831,956.296,False,False,False,0.563,0.102,0,3.286,3.37,0.034,691.5024626450505,1.06,0.739,,,1.016,1.008,0.253,0.334
Soybean_yearly_False_window_6_lags_7_sinusoidal_yes_piecewise,False,6,piecewise_lags_7_sinusoidal_yes,0.318,0.421,840.611,852.432,True,False,False,0.611,0.215,0,6.37,7.973,0.187,695.2717261174747,,,2.557,0.715,1.003,1.043,0.027,0.113
Soybean_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.338,0.267,575.327,580.159,True,True,False,0.397,0.182,0,2.227,2.227,0.067,731.4361597379799,,,,,,,,
Soybean_yearly_True_window_6_lags_1_sinusoidal_no_piecewise,True,6,piecewise_lags_1_sinusoidal_no,0.449,0.304,551.44,557.774,True,True,False,0.547,0.279,0,2.261,2.35,0.06,730.8654968548822,1.089,0.549,,,,,,
Soybean_yearly_True_window_6_lags_7_sinusoidal_no_piecewise,True,6,piecewise_lags_7_sinusoidal_no,0.271,0.171,466.404,472.009,True,False,False,0.346,-0.178,0,3.476,4.138,0.075,737.3753574452918,,,1.662,0.518,,,,
Soybean_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.399,0.482,575.79,583.844,True,True,False,0.384,0.111,0,2.23,2.233,0.168,731.4361597379799,,,,,1.002,1.0,0.09,0.806
Soybean_yearly_True_window_6_lags_1_sinusoidal_yes_piecewise,True,6,piecewise_lags_1_sinusoidal_yes,0.517,0.807,550.684,560.185,True,True,False,0.501,0.332,0,2.263,2.354,0.275,730.8654968548822,1.089,0.601,,,1.001,1.001,0.066,0.354
Soybean_yearly_True_window_6_lags_7_sinusoidal_yes_piecewise,True,6,piecewise_lags_7_sinusoidal_yes,0.356,0.878,466.671,475.078,True,False,False,0.35,-0.556,0,3.664,4.452,0.727,737.3753574452918,,,1.712,0.956,1.0,1.075,0.263,0.123
Soybean_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.235,0.077,962.477,968.76,True,False,False,0.309,0.138,0,2.115,2.115,0.006,737.0742017311688,,,,,,,,
Soybean_yearly_False_window_7_lags_1_sinusoidal_no_piecewise,False,7,piecewise_lags_1_sinusoidal_no,0.244,0.123,942.932,951.242,False,False,False,0.373,0.119,0,2.114,2.148,0.011,736.6637056268398,1.034,0.62,,,,,,
Soybean_yearly_False_window_7_lags_7_sinusoidal_no_piecewise,False,7,piecewise_lags_7_sinusoidal_no,0.189,0.274,842.885,850.766,True,False,False,0.347,0.134,0,3.236,4.268,0.056,745.5463695486292,,,2.032,0.641,,,,
Soybean_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.256,0.059,964.811,975.283,True,False,False,0.332,0.105,0,2.161,2.203,0.004,737.0742017311688,,,,,1.033,1.009,0.231,0.791
Soybean_yearly_False_window_7_lags_1_sinusoidal_yes_piecewise,False,7,piecewise_lags_1_sinusoidal_yes,0.284,0.111,943.698,956.163,True,False,False,0.401,0.032,0,2.162,2.24,0.008,736.6637056268398,1.035,0.649,,,1.032,1.011,0.165,0.332
Soybean_yearly_False_window_7_lags_7_sinusoidal_yes_piecewise,False,7,piecewise_lags_7_sinusoidal_yes,0.352,0.306,834.979,846.8,True,False,False,0.447,0.16,0,3.325,4.438,0.029,745.5463695486292,,,2.073,0.994,1.024,1.015,0.007,0.068
Soybean_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.583,0.002,559.442,564.275,True,True,False,0.543,0.491,0,2.222,2.222,0.0,731.3690808054305,,,,,,,,
Soybean_yearly_True_window_7_lags_1_sinusoidal_no_piecewise,True,7,piecewise_lags_1_sinusoidal_no,0.707,0.001,529.521,535.855,True,True,False,0.926,0.661,0,2.337,2.441,0.0,728.4335422736652,1.104,0.297,,,,,,
Soybean_yearly_True_window_7_lags_7_sinusoidal_no_piecewise,True,7,piecewise_lags_7_sinusoidal_no,0.459,0.067,456.607,462.211,True,False,False,0.431,0.171,0,3.78,4.66,0.009,744.2180707869529,,,1.881,0.766,,,,
Soybean_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.59,0.016,562.777,570.832,True,True,False,0.587,0.368,0,2.245,2.264,0.003,731.3690808054305,,,,,1.015,1.004,0.838,0.453
Soybean_yearly_True_window_7_lags_1_sinusoidal_yes_piecewise,True,7,piecewise_lags_1_sinusoidal_yes,0.713,0.025,532.669,542.17,False,True,False,0.919,0.605,0,2.368,2.498,0.004,728.4335422736652,1.107,0.324,,,1.01,1.014,0.904,0.405
Soybean_yearly_True_window_7_lags_7_sinusoidal_yes_piecewise,True,7,piecewise_lags_7_sinusoidal_yes,0.525,0.909,456.664,465.071,True,False,False,0.476,-0.356,0,4.22,5.399,0.328,744.2180707869529,,,2.02,0.522,1.031,1.127,0.491,0.079
Soybean_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.274,0.029,953.94,960.223,True,False,False,0.24,0.12,0,1.971,1.971,0.002,742.3876584810606,,,,,,,,
Soybean_yearly_False_window_8_lags_1_sinusoidal_no_piecewise,False,8,piecewise_lags_1_sinusoidal_no,0.283,0.051,933.753,942.063,True,True,False,0.329,0.083,0,2.039,2.093,0.004,738.0698848811111,1.054,0.589,,,,,,
Soybean_yearly_False_window_8_lags_7_sinusoidal_no_piecewise,False,8,piecewise_lags_7_sinusoidal_no,0.212,0.224,835.283,843.164,True,False,False,0.256,0.186,0,3.201,4.374,0.035,747.4205676783839,,,2.173,0.772,,,,
Soybean_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.309,0.012,954.998,965.47,True,False,False,0.285,0.092,0,2.021,2.073,0.001,742.3876584810606,,,,,1.046,1.006,0.102,0.933
Soybean_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.332,0.033,933.641,946.106,True,False,False,0.382,0.052,0,2.089,2.193,0.002,738.0698848811111,1.056,0.624,,,1.04,1.008,0.079,0.507
Soybean_yearly_False_window_8_lags_7_sinusoidal_yes_piecewise,False,8,piecewise_lags_7_sinusoidal_yes,0.384,0.21,826.222,838.043,True,False,False,0.36,0.296,0,3.3,4.571,0.014,747.4205676783839,,,2.226,0.856,1.024,1.021,0.004,0.093
Soybean_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.545,0.065,563.389,568.222,True,True,False,0.398,0.379,0,2.081,2.081,0.002,740.9409127301515,,,,,,,,
Soybean_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.686,0.061,531.99,538.324,True,True,False,0.708,0.634,0,2.124,2.258,0.001,741.9445656397833,1.134,0.262,,,,,,
Soybean_yearly_True_window_8_lags_7_sinusoidal_no_piecewise,True,8,piecewise_lags_7_sinusoidal_no,0.488,0.112,456.523,462.128,True,True,False,0.357,0.14,0,3.624,4.448,0.011,746.2150711060879,,,1.824,0.506,,,,
Soybean_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.554,0.294,566.626,574.68,True,True,False,0.363,0.349,0,2.114,2.145,0.042,740.9409127301515,,,,,1.025,1.005,0.42,0.95
Soybean_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.724,0.443,531.289,540.79,True,True,False,0.689,0.55,0,2.16,2.329,0.027,741.9445656397833,1.138,0.301,,,1.018,1.013,0.313,0.07
Soybean_yearly_True_window_8_lags_7_sinusoidal_yes_piecewise,True,8,piecewise_lags_7_sinusoidal_yes,0.595,0.985,453.471,461.878,True,False,False,0.407,0.166,0,4.215,5.45,0.215,746.2150711060879,,,2.01,0.798,1.09,1.135,0.386,0.021
Soybean_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.258,0.041,956.949,963.232,True,False,False,0.288,0.075,0,2.002,2.002,0.004,737.1655716695061,,,,,,,,
Soybean_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.275,0.058,935.147,943.457,False,False,False,0.339,0.091,0,2.03,2.076,0.006,737.3830782908642,1.047,0.189,,,,,,
Soybean_yearly_False_window_9_lags_7_sinusoidal_no_piecewise,False,9,piecewise_lags_7_sinusoidal_no,0.153,0.441,836.389,844.27,True,False,False,0.351,0.027,0,3.361,4.432,0.136,740.56025256422,,,2.071,0.951,,,,
Soybean_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.318,0.007,955.855,966.327,True,False,False,0.366,-0.058,0,2.07,2.139,0.0,737.1655716695061,,,,,1.056,1.013,0.031,0.874
Soybean_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.35,0.012,932.664,945.129,True,False,False,0.423,0.102,0,2.101,2.22,0.001,737.3830782908642,1.05,0.165,,,1.056,1.013,0.02,0.698
Soybean_yearly_False_window_9_lags_7_sinusoidal_yes_piecewise,False,9,piecewise_lags_7_sinusoidal_yes,0.372,0.241,824.55,836.372,True,False,False,0.529,0.275,0,3.528,4.747,0.028,740.56025256422,,,2.147,0.588,1.044,1.027,0.002,0.055
