analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.75,0.0,585.389,595.371,True,True,True,1.621,0.619,0,1.299,1.784,0.947,866.3131886363636,1.024,0.055,1.274,1.188,0.0,0.0
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.682,0.0,336.854,340.261,False,True,False,0.869,0.585,0,2.85,2.85,0.0,774.743918668278,,,,,,
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.765,0.0,318.02,322.384,True,True,False,1.157,0.739,0,3.731,4.075,0.0,772.3037789532492,1.344,0.015,,,,
Switchgrass_yearly_True_window_8_lags_none_sinusoidal_yes_piecewise,True,8,piecewise_lags_none_sinusoidal_yes,0.949,0.065,298.886,304.564,True,True,False,1.179,0.919,0,6.611,8.643,0.019,774.743918668278,,,2.748,1.285,0.0,0.0
Switchgrass_yearly_True_window_8_lags_1_sinusoidal_yes_piecewise,True,8,piecewise_lags_1_sinusoidal_yes,0.953,0.429,286.654,293.201,True,True,False,1.373,0.944,0,10.141,13.638,0.059,772.3037789532492,2.151,0.0,2.969,1.378,0.0,0.0
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.228,0.004,631.801,636.868,True,False,False,0.421,0.156,0,1.343,1.343,0.01,849.7432892255891,,,,,,
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_no_piecewise,False,9,piecewise_lags_1_sinusoidal_no,0.302,0.001,614.157,620.812,True,False,False,0.548,0.194,0,1.377,1.395,0.002,847.5137954545454,1.018,0.034,,,,
Switchgrass_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.764,0.001,588.413,596.857,True,True,False,1.276,0.598,0,1.529,2.072,0.406,849.7432892255891,,,1.428,1.115,0.0,0.0
Switchgrass_yearly_False_window_9_lags_1_sinusoidal_yes_piecewise,False,9,piecewise_lags_1_sinusoidal_yes,0.795,0.0,570.472,580.454,True,True,False,1.476,0.716,0,1.67,2.482,0.605,847.5137954545454,1.032,0.02,1.596,1.183,0.0,0.0
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_no_piecewise,True,9,piecewise_lags_none_sinusoidal_no,0.666,0.0,333.932,337.339,False,True,False,0.95,0.35,0,2.978,2.978,0.0,772.2131683225066,,,,,,
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_no_piecewise,True,9,piecewise_lags_1_sinusoidal_no,0.781,0.0,311.99,316.354,True,True,False,1.271,0.695,0,3.895,4.264,0.0,771.3428116321586,1.368,0.003,,,,
Switchgrass_yearly_True_window_9_lags_none_sinusoidal_yes_piecewise,True,9,piecewise_lags_none_sinusoidal_yes,0.919,0.51,305.33,311.008,False,True,False,0.948,0.799,0,7.416,9.659,0.477,772.2131683225066,,,3.106,1.137,0.005,0.0
Switchgrass_yearly_True_window_9_lags_1_sinusoidal_yes_piecewise,True,9,piecewise_lags_1_sinusoidal_yes,0.916,0.955,294.915,301.462,False,True,False,1.239,0.797,0,11.811,15.92,0.87,771.3428116321586,2.375,0.001,3.536,1.198,0.031,0.0
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.238,0.004,627.732,632.799,True,False,False,0.656,0.207,0,1.329,1.329,0.007,848.6652842107878,,,,,,
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_no_piecewise,False,10,piecewise_lags_1_sinusoidal_no,0.368,0.0,606.701,613.356,True,False,False,0.799,0.169,0,1.324,1.339,0.0,849.7403883563636,1.015,0.006,,,,
Switchgrass_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.763,0.002,585.093,593.537,True,True,False,1.459,0.615,0,1.564,2.28,0.19,848.6652842107878,,,1.508,1.208,0.0,0.0
Switchgrass_yearly_False_window_10_lags_1_sinusoidal_yes_piecewise,False,10,piecewise_lags_1_sinusoidal_yes,0.795,0.0,566.805,576.786,True,True,True,1.627,0.681,0,1.647,2.671,0.633,849.7403883563636,1.029,0.002,1.67,1.325,0.0,0.0
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_no_piecewise,True,10,piecewise_lags_none_sinusoidal_no,0.632,0.0,331.995,335.401,False,True,False,0.911,0.052,0,2.795,2.795,0.0,770.2011914218855,,,,,,
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_no_piecewise,True,10,piecewise_lags_1_sinusoidal_no,0.761,0.0,309.775,314.139,True,True,False,1.164,0.621,0,3.826,4.317,0.0,769.6150717400674,1.491,0.003,,,,
Switchgrass_yearly_True_window_10_lags_none_sinusoidal_yes_piecewise,True,10,piecewise_lags_none_sinusoidal_yes,0.933,0.241,296.656,302.334,True,True,False,0.887,0.703,0,6.158,8.031,0.207,770.2011914218855,,,2.672,1.202,0.002,0.0
Switchgrass_yearly_True_window_10_lags_1_sinusoidal_yes_piecewise,True,10,piecewise_lags_1_sinusoidal_yes,0.943,0.845,282.11,288.656,True,True,True,1.796,0.817,0,10.538,14.568,0.582,769.6150717400674,2.656,0.0,3.099,1.276,0.007,0.0
