analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.446,0.0,570.353,578.271,True,False,False,0.728,0.059,0,1.0,1.0,0.663,,,1.0,1.0,0.054,0.256
Soybean_yearly_True_window_3_lags_7_sinusoidal_yes_linear,True,3,linear_lags_7_sinusoidal_yes,0.404,0.004,476.053,483.059,True,False,False,0.666,-0.158,0,1.0,,,1.0,0.88,1.0,1.0,0.2,0.052
Soybean_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.178,0.001,966.441,970.629,True,True,False,0.716,0.074,0,1.0,,,,,,,,
Soybean_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.197,0.001,951.399,957.632,True,True,False,0.709,0.027,0,1.0,1.0,0.851,,,,,,
Soybean_yearly_False_window_4_lags_7_sinusoidal_no_linear,False,4,linear_lags_7_sinusoidal_no,0.213,0.449,849.538,855.449,True,True,False,0.822,0.133,0,1.0,,,1.0,0.116,,,,
Soybean_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.202,0.001,968.657,977.034,True,False,False,0.738,-0.085,0,1.0,,,,,1.0,1.0,0.928,0.2
Soybean_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.242,0.001,951.988,962.375,True,False,False,0.757,-0.066,0,1.0,1.0,0.9,,,1.0,1.0,0.841,0.08
Soybean_yearly_False_window_4_lags_7_sinusoidal_yes_linear,False,4,linear_lags_7_sinusoidal_yes,0.289,0.205,848.178,858.029,True,False,False,0.926,0.195,0,1.0,,,1.0,0.241,1.0,1.0,0.195,0.071
Soybean_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.259,0.001,581.438,584.66,True,True,False,0.423,0.243,0,1.0,,,,,,,,
Soybean_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.342,0.001,562.116,566.866,True,True,False,0.54,0.149,0,1.0,1.0,0.878,,,,,,
